time	overlap	overlapHigh	overlapLow
0.3	0.963508571829805	0.987055055452227	0.940274033978199
0.568421052631579	0.990820099943144	1.00656654208363	0.97532026504637
0.836842105263158	0.995782210646527	1.01585519204677	0.975966133023152
1.10526315789474	0.957441832834119	0.980891710725336	0.934106280360325
1.37368421052632	0.946244990226668	0.963290645065922	0.929194117052502
1.64210526315789	0.891926242265828	0.907573523125355	0.876223888767385
1.91052631578947	0.882733140889688	0.900743395410301	0.86477541320847
2.17894736842105	0.822925370458551	0.836295262988153	0.8096387418617
2.44736842105263	0.780412879076878	0.800615875111199	0.760063952132501
2.71578947368421	0.750875320808426	0.770814046272378	0.731242008523639
2.98421052631579	0.701779627018246	0.727888232335852	0.67582013232189
3.25263157894737	0.65365576858536	0.671704081091844	0.635696588588678
3.52105263157895	0.65503163728931	0.676589398849485	0.633828542444522
3.78947368421053	0.58370929564208	0.596851205812406	0.570552261204633
4.05789473684211	0.564815808272727	0.585573561526711	0.544033049523342
4.32631578947368	0.526295653077095	0.536497287856385	0.516090328525784
4.59473684210526	0.48599553914933	0.500407699410393	0.471552402247949
4.86315789473684	0.4342333474577	0.448443526171704	0.420212169029141
