x_f/dx-theor.,P_q(x_f)-theor.,P_c(x_f)-theor.,x_f/dx-exp.,P_e(x_f),P_q(x_f)-exp.,S.E. of P_q(x_f)-exp.,P_c(x_f)-exp.,S.E. of P_c(x_f)-exp.
-6.28504,0.892504519,1.030184403,,,,,,
-6.2662,0.894092243,1.030184403,,,,,,
-6.24735,0.895677656,1.030184403,,,,,,
-6.2285,0.897260739,1.030184403,,,,,,
-6.20966,0.898841474,1.030184403,,,,,,
-6.19081,0.90041984,1.030184403,,,,,,
-6.17197,0.901995819,1.030184403,,,,,,
-6.15312,0.903569392,1.030184403,,,,,,
-6.13428,0.905140539,1.030184403,,,,,,
-6.11543,0.906709243,1.030184403,,,,,,
-6.09658,0.908275483,1.030184403,,,,,,
-6.07774,0.909839241,1.030184403,,,,,,
-6.05889,0.911400498,1.030184403,,,,,,
-6.04005,0.912959235,1.030184403,,,,,,
-6.0212,0.914515432,1.030184403,,,,,,
-6.00236,0.916069072,1.030184403,,,,,,
-5.98351,0.917620135,1.030184403,,,,,,
-5.96466,0.919168602,1.030184403,,,,,,
-5.94582,0.920714455,1.030184403,,,,,,
-5.92697,0.922257674,1.030184403,,,,,,
-5.90813,0.923798241,1.030184403,,,,,,
-5.88928,0.925336137,1.030184403,,,,,,
-5.87044,0.926871343,1.030184403,,,,,,
-5.85159,0.92840384,1.030184403,,,,,,
-5.83274,0.92993361,1.030184403,,,,,,
-5.8139,0.931460634,1.030184403,,,,,,
-5.79505,0.932984894,1.030184403,,,,,,
-5.77621,0.93450637,1.030184403,,,,,,
-5.75736,0.936025044,1.030184403,,,,,,
-5.73852,0.937540897,1.030184403,,,,,,
-5.71967,0.939053911,1.030184403,,,,,,
-5.70082,0.940564068,1.030184403,,,,,,
-5.68198,0.942071347,1.030184403,,,,,,
-5.66313,0.943575732,1.030184403,,,,,,
-5.64429,0.945077204,1.030184403,,,,,,
-5.62544,0.946575743,1.030184403,,,,,,
-5.6066,0.948071333,1.030184403,,,,,,
-5.58775,0.949563953,1.030184403,,,,,,
-5.5689,0.951053586,1.030184403,,,,,,
-5.55006,0.952540214,1.030184403,,,,,,
-5.53121,0.954023818,1.030184403,,,,,,
-5.51237,0.955504379,1.030184403,,,,,,
-5.49352,0.95698188,1.030184403,,,,,,
-5.47468,0.958456302,1.030184403,,,,,,
-5.45583,0.959927627,1.030184403,,,,,,
-5.43698,0.961395836,1.030184403,,,,,,
-5.41814,0.962860912,1.030184403,,,,,,
-5.39929,0.964322837,1.030184403,,,,,,
-5.38045,0.965781591,1.030184403,,,,,,
-5.3616,0.967237158,1.030184403,,,,,,
-5.34276,0.968689519,1.030184403,,,,,,
-5.32391,0.970138656,1.030184403,,,,,,
-5.30506,0.971584551,1.030184403,,,,,,
-5.28622,0.973027185,1.030184403,,,,,,
-5.26737,0.974466542,1.030184403,,,,,,
-5.24853,0.975902603,1.030184403,,,,,,
-5.22968,0.97733535,1.030184403,,,,,,
-5.21084,0.978764765,1.030184403,,,,,,
-5.19199,0.980190831,1.030184403,,,,,,
-5.17314,0.98161353,1.030184403,,,,,,
-5.1543,0.983032844,1.030184403,,,,,,
-5.13545,0.984448755,1.030184403,,,,,,
-5.11661,0.985861245,1.030184403,,,,,,
-5.09776,0.987270297,1.030184403,,,,,,
-5.07892,0.988675894,1.030184403,,,,,,
-5.06007,0.990078017,1.030184403,,,,,,
-5.04122,0.99147665,1.030184403,,,,,,
-5.02238,0.992871773,1.030184403,,,,,,
-5.00353,0.994263371,1.030184403,,,,,,
-4.98469,0.995651426,1.030184403,,,,,,
-4.96584,0.99703592,1.030184403,,,,,,
-4.947,0.998416835,1.030184403,,,,,,
-4.92815,0.999794155,1.030184403,,,,,,
-4.90931,1.001167862,1.030184403,,,,,,
-4.89046,1.002537939,1.030184403,,,,,,
-4.87161,1.003904369,1.030184403,,,,,,
-4.85277,1.005267134,1.030184403,,,,,,
-4.83392,1.006626217,1.030184403,,,,,,
-4.81508,1.007981601,1.030184403,,,,,,
-4.79623,1.00933327,1.030184403,,,,,,
-4.77739,1.010681205,1.030184403,,,,,,
-4.75854,1.012025391,1.030184403,,,,,,
-4.73969,1.013365809,1.030184403,,,,,,
-4.72085,1.014702444,1.030184403,,,,,,
-4.702,1.016035277,1.030184403,,,,,,
-4.68316,1.017364293,1.030184403,,,,,,
-4.66431,1.018689475,1.030184403,,,,,,
-4.64547,1.020010805,1.030184403,,,,,,
-4.62662,1.021328267,1.030184403,,,,,,
-4.60777,1.022641845,1.030184403,,,,,,
-4.58893,1.023951522,1.030184403,,,,,,
-4.57008,1.02525728,1.030184403,,,,,,
-4.55124,1.026559104,1.030184403,,,,,,
-4.53239,1.027856977,1.030184403,,,,,,
-4.51355,1.029150882,1.030184403,,,,,,
-4.4947,1.030440804,1.030184403,,,,,,
-4.47585,1.031726725,1.030184403,,,,,,
-4.45701,1.03300863,1.030184403,,,,,,
-4.43816,1.034286501,1.030184403,,,,,,
-4.41932,1.035560324,1.030184403,,,,,,
-4.40047,1.036830081,1.030184403,,,,,,
-4.38163,1.038095756,1.030184403,,,,,,
-4.36278,1.039357334,1.030184403,,,,,,
-4.34393,1.040614798,1.030184403,,,,,,
-4.32509,1.041868132,1.030184403,,,,,,
-4.30624,1.04311732,1.030184403,,,,,,
-4.2874,1.044362346,1.030184403,,,,,,
-4.26855,1.045603195,1.030184403,,,,,,
-4.24971,1.04683985,1.030184403,,,,,,
-4.23086,1.048072296,1.030184403,,,,,,
-4.21201,1.049300517,1.030184403,,,,,,
-4.19317,1.050524497,1.030184403,,,,,,
-4.17432,1.05174422,1.030184403,,,,,,
-4.15548,1.052959672,1.030184403,,,,,,
-4.13663,1.054170835,1.030184403,,,,,,
-4.11779,1.055377696,1.030184403,,,,,,
-4.09894,1.056580238,1.030184403,,,,,,
-4.08009,1.057778446,1.030184403,,,,,,
-4.06125,1.058972305,1.030184403,,,,,,
-4.0424,1.060161799,1.030184403,,,,,,
-4.02356,1.061346913,1.030184403,,,,,,
-4.00471,1.062527632,1.030184403,,,,,,
-3.98587,1.06370394,1.030184403,,,,,,
-3.96702,1.064875823,1.030184403,,,,,,
-3.94817,1.066043266,1.030184403,,,,,,
-3.92933,1.067206253,1.030184403,,,,,,
-3.91048,1.068364769,1.030184403,,,,,,
-3.89164,1.0695188,1.030184403,,,,,,
-3.87279,1.070668331,1.030184403,,,,,,
-3.85395,1.071813347,1.030184403,,,,,,
-3.8351,1.072953833,1.030184403,,,,,,
-3.81625,1.074089774,1.030184403,,,,,,
-3.79741,1.075221156,1.030184403,,,,,,
-3.77856,1.076347964,1.030184403,,,,,,
-3.75972,1.077470185,1.030184403,,,,,,
-3.74087,1.078587802,1.030184403,,,,,,
-3.72203,1.079700802,1.030184403,,,,,,
-3.70318,1.08080917,1.030184403,,,,,,
-3.68433,1.081912893,1.030184403,,,,,,
-3.66549,1.083011955,1.030184403,,,,,,
-3.64664,1.084106343,1.030184403,,,,,,
-3.6278,1.085196043,1.030184403,,,,,,
-3.60895,1.08628104,1.030184403,,,,,,
-3.59011,1.08736132,1.030184403,,,,,,
-3.57126,1.088436869,1.030184403,,,,,,
-3.55241,1.089507674,1.030184403,,,,,,
-3.53357,1.09057372,1.030184403,,,,,,
-3.51472,1.091634994,1.030184403,,,,,,
-3.49588,1.092691483,1.030184403,,,,,,
-3.47703,1.093743171,1.030184403,,,,,,
-3.45819,1.094790046,1.030184403,,,,,,
-3.43934,1.095832094,1.030184403,,,,,,
-3.42049,1.096869301,1.030184403,,,,,,
-3.40165,1.097901654,1.030184403,,,,,,
-3.3828,1.09892914,1.030184403,,,,,,
-3.36396,1.099951746,1.030184403,,,,,,
-3.34511,1.100969457,1.030184403,,,,,,
-3.32627,1.101982261,1.030184403,,,,,,
-3.30742,1.102990145,1.030184403,,,,,,
-3.28857,1.103993095,1.030184403,,,,,,
-3.26973,1.104991098,1.030184403,,,,,,
-3.25088,1.105984142,1.030184403,,,,,,
-3.23204,1.106972213,1.030184403,,,,,,
-3.21319,1.107955299,1.030184403,,,,,,
-3.19435,1.108933387,1.030184403,,,,,,
-3.1755,1.109906464,1.030184403,,,,,,
-3.15665,1.110874517,1.030184403,,,,,,
-3.13781,1.111837534,1.030184403,,,,,,
-3.11896,1.112795502,1.030184403,,,,,,
-3.10012,1.113748409,1.030184403,,,,,,
-3.08127,1.114696242,1.030184403,,,,,,
-3.06243,1.115638989,1.030184403,,,,,,
-3.04358,1.116576637,1.030184403,,,,,,
-3.02473,1.117509175,1.030184403,,,,,,
-3.00589,1.11843659,1.030184403,,,,,,
-2.98704,1.11935887,1.030184403,,,,,,
-2.9682,1.120276003,1.030184403,,,,,,
-2.94935,1.121187977,1.030184403,,,,,,
-2.93051,1.122094779,1.030184403,,,,,,
-2.91166,1.122996399,1.030184403,,,,,,
-2.89282,1.123892825,1.030184403,,,,,,
-2.87397,1.124784044,1.030184403,,,,,,
-2.85512,1.125670045,1.030184403,,,,,,
-2.83628,1.126550816,1.030184403,,,,,,
-2.81743,1.127426346,1.030184403,,,,,,
-2.79859,1.128296623,1.030184403,,,,,,
-2.77974,1.129161636,1.030184403,,,,,,
-2.7609,1.130021374,1.030184403,,,,,,
-2.74205,1.130875826,1.030184403,,,,,,
-2.7232,1.131724979,1.030184403,,,,,,
-2.70436,1.132568823,1.030184403,,,,,,
-2.68551,1.133407347,1.030184403,,,,,,
-2.66667,1.13424054,1.030184403,,,,,,
-2.64782,1.135068391,1.030184403,,,,,,
-2.62898,1.135890889,1.030184403,,,,,,
-2.61013,1.136708023,1.030184403,,,,,,
-2.59128,1.137519783,1.030184403,,,,,,
-2.57244,1.138326158,1.030184403,,,,,,
-2.55359,1.139127137,1.030184403,,,,,,
-2.53475,1.139922709,1.030184403,,,,,,
-2.5159,1.140712865,1.030184403,,,,,,
-2.49706,1.141497594,1.030184403,,,,,,
-2.47821,1.142276885,1.030184403,,,,,,
-2.45936,1.143050728,1.030184403,,,,,,
-2.44052,1.143819114,1.030184403,,,,,,
-2.42167,1.144582031,1.030184403,,,,,,
-2.40283,1.14533947,1.030184403,,,,,,
-2.38398,1.146091422,1.030184403,,,,,,
-2.36514,1.146837875,1.030184403,,,,,,
-2.34629,1.147578821,1.030184403,,,,,,
-2.32744,1.148314249,1.030184403,,,,,,
-2.3086,1.149044149,1.030184403,,,,,,
-2.28975,1.149768513,1.030184403,,,,,,
-2.27091,1.150487331,1.030184403,,,,,,
-2.25206,1.151200592,1.030184403,,,,,,
-2.23322,1.151908288,1.030184403,,,,,,
-2.21437,1.152610409,1.030184403,,,,,,
-2.19552,1.153306947,1.030184403,,,,,,
-2.17668,1.153997891,1.030184403,,,,,,
-2.15783,1.154683233,1.030184403,,,,,,
-2.13899,1.155362964,1.030184403,,,,,,
-2.12014,1.156037074,1.030184403,,,,,,
-2.1013,1.156705555,1.030184403,,,,,,
-2.08245,1.157368399,1.030184403,,,,,,
-2.0636,1.158025595,1.030184403,,,,,,
-2.04476,1.158677136,1.030184403,,,,,,
-2.02591,1.159323012,1.030184403,,,,,,
-2.00707,1.159963216,1.030184403,,,,,,
-1.98822,1.160597739,1.030184403,,,,,,
-1.96938,1.161226573,1.030184403,,,,,,
-1.95053,1.161849708,1.030184403,,,,,,
-1.93168,1.162467138,1.030184403,,,,,,
-1.91284,1.163078853,1.030184403,,,,,,
-1.89399,1.163684846,1.030184403,,,,,,
-1.87515,1.164285108,1.030184403,,,,,,
-1.8563,1.164879633,1.030184403,,,,,,
-1.83746,1.16546841,1.030184403,,,,,,
-1.81861,1.166051434,1.030184403,,,,,,
-1.79976,1.166628697,1.030184403,,,,,,
-1.78092,1.167200189,1.030184403,,,,,,
-1.76207,1.167765905,1.030184403,,,,,,
-1.74323,1.168325837,1.030184403,,,,,,
-1.72438,1.168879976,1.030184403,,,,,,
-1.70554,1.169428317,1.030184403,,,,,,
-1.68669,1.16997085,1.030184403,,,,,,
-1.66784,1.17050757,1.030184403,,,,,,
-1.649,1.17103847,1.030184403,,,,,,
-1.63015,1.171563541,1.030184403,,,,,,
-1.61131,1.172082778,1.030184403,,,,,,
-1.59246,1.172596173,1.030184403,,,,,,
-1.57362,1.173103719,1.030184403,,,,,,
-1.55477,1.17360541,1.030184403,,,,,,
-1.53592,1.174101239,1.030184403,,,,,,
-1.51708,1.1745912,1.030184403,,,,,,
-1.49823,1.175075285,1.030184403,,,,,,
-1.47939,1.17555349,1.030184403,,,,,,
-1.46054,1.176025806,1.030184403,,,,,,
-1.4417,1.176492228,1.030184403,,,,,,
-1.42285,1.17695275,1.030184403,,,,,,
-1.404,1.177407366,1.030184403,,,,,,
-1.38516,1.177856069,1.030184403,,,,,,
-1.36631,1.178298853,1.030184403,,,,,,
-1.34747,1.178735714,1.030184403,,,,,,
-1.32862,1.179166644,1.030184403,,,,,,
-1.30978,1.179591639,1.030184403,,,,,,
-1.29093,1.180010692,1.030184403,,,,,,
-1.27208,1.180423798,1.030184403,,,,,,
-1.25324,1.180830951,1.030184403,,,,,,
-1.23439,1.181232146,1.030184403,,,,,,
