L/dx,P_L(a.u.),S.D. of P_L(a.u.)
0,1.02322,0.10929
1,0.98449,0.17931
2,1.11509,0.24055
3,1.06961,0.25373
4,1.08227,0.22077
5,1.073,0.24426
6,1.0785,0.21838
7,1.08938,0.23611
8,1.0638,0.21611
9,1.0787,0.23217
10,1.05341,0.21673
11,1.06555,0.23153
12,1.03972,0.21424
13,1.04831,0.22732
14,1.03125,0.21655
15,1.03585,0.22236
16,1.02164,0.21662
17,1.02875,0.22128
18,1.00773,0.21375
19,1.02274,0.21975
20,1.00215,0.21419
21,1.01753,0.22024
22,0.99802,0.21421
23,1.01058,0.21963
24,0.99071,0.21338
25,0.99989,0.21674
26,0.98643,0.21412
27,0.99662,0.2171
28,0.98185,0.21495
29,0.99546,0.2193
30,0.97869,0.21668
31,0.99073,0.21839
32,0.9733,0.218
33,0.99022,0.22241
34,0.96747,0.21769
35,0.98669,0.22495
36,0.96921,0.22184
37,0.98419,0.22634
38,0.96563,0.22688
39,0.97811,0.22727
40,0.96416,0.22506
41,0.97671,0.22516
42,0.96602,0.23063
43,0.98119,0.23105
44,0.96831,0.23979
45,0.9852,0.24001
46,0.96933,0.24207
47,0.98624,0.2462
48,0.96962,0.24674
49,0.98925,0.25188
50,0.96948,0.25146
51,0.98733,0.2571
52,0.97227,0.25911
53,0.98411,0.25579
54,0.96796,0.27007
55,0.97903,0.25997
56,0.97548,0.2629
57,0.99035,0.26046
58,0.98141,0.26834
59,1.00054,0.27253
60,0.98692,0.27842
61,1.00856,0.2884
62,0.98996,0.27891
63,1.01501,0.30574
64,0.98743,0.27678
65,1.01906,0.32492
66,0.98174,0.28615
67,1.00875,0.33443
68,0.95235,0.2755
69,0.98545,0.38674
70,0.84038,0.28972
71,0.88389,0.47022
