q_theta_over_pi,berry,berry_error,metric_prediction,metric_prediction_error,residual
0,0.004546391898,0.004540387713,0.1452251664,0.003301640546,-0.1406787745
0.1666534192,0.2368898356,0.007343707962,0.2494339921,0.004898680821,-0.01254415652
0.2500066237,0.3146375637,0.004948131292,0.3326331581,0.005870037614,-0.01799559437
0.4166600429,0.4472279488,0.01016472888,0.4687768121,0.01055266028,-0.02154886326
0.4999867525,0.5364853241,0.009039978896,0.5524785578,0.00889604731,-0.01599323373
0.5833399571,0.4960609886,0.01139206144,0.5076830577,0.009360914942,-0.01162206904
0.7499933763,0.3697242053,0.009608783776,0.3559640355,0.006767557057,0.01376016985
0.8333200858,0.2741411507,0.004444549126,0.2594873149,0.004970711434,0.01465383579
