component,q,quench_metric,drive_metric,drive_error
phi,-0.0015527060057339817,-0.00047620969516702844,-0.02226911446596726,0.014588329240354164
phi,0.06094448455726709,0.009138108218228747,0.016912833010250733,0.008886576033653403
phi,0.12344167512026816,0.036659822004634926,0.052265871136812005,0.009542084398861868
phi,0.1859431265710856,0.07705198007788314,0.10280406804466648,0.012021173488698285
phi,0.24844237885399784,0.12708527873776684,0.15840499156688487,0.012709371277717742
phi,0.31094176858490413,0.17654507020968233,0.20245519782600357,0.01769015536933945
phi,0.3734390965958993,0.215109578423685,0.2354297487898437,0.016298898639266396
phi,0.43593628715890037,0.24415739675897977,0.2540030023345681,0.022706291868166837
phi,0.49843347772190144,0.2544399538041773,0.27662937489294637,0.017292689317113846
phi,0.5609308057328966,0.24532541456017756,0.2651528819930006,0.025113705841437087
phi,0.6234278588479035,0.21482232410371205,0.21669322768981694,0.01815984996861234
phi,0.6859251868588987,0.1746111040431859,0.19641260544346353,0.018748841652688194
phi,0.7484225148698939,0.12752570107778377,0.14918520578681546,0.015346057167657889
phi,0.8109195679849008,0.0777566504086563,0.11745775434214163,0.011436504164114297
phi,0.873416895995896,0.03719982115075574,0.044146923815041456,0.00941292825351517
phi,0.9359142240068912,0.009249188188940983,0.01239056393419191,0.008197476107750545
phi,0.9984112771218981,-0.00047620969516702844,0.035852806996227726,0.013389621832747117
theta,1.4888366718502433e-05,0.2459381407728929,0.23617209659592736,0.015035164023660254
theta,0.12500940694071472,0.24735511412248523,0.24476834563823172,0.016580949138944236
theta,0.25000804895453327,0.253386805251445,0.2367363059304417,0.02040460593189358
theta,0.374985798873252,0.24840828974148713,0.23961652374444695,0.0242055774336089
theta,0.5000221016374478,0.24819766003094068,0.24320945170654668,0.022748140692735182
theta,0.625016620211444,0.2529272741250434,0.24019555190795586,0.019552717129461824
theta,0.7500110013374461,0.2507251894912284,0.24904421587225584,0.019028511122452803
theta,0.8750055199114423,0.2517017405008038,0.23679568542096482,0.018462076631648634
theta,1.0000000384854386,0.2545548230526429,0.24038856129579217,0.014722752761571296
