t,"xcl_th(15,-15)","xcl_NAG(15,-15)-R1","xcl_th(-10,10)","xcl_NAG(-10,10)-R2","xcl_th{0,0}","xcl_NAG(0,0)-R3-M","xcl_NAG(0,0)-R3-SD"
0,15,15,-10,-10,0,0,0
1,10,9,-6.66667 ,-7,0,0,1
2,5,4,-3.33333 ,-4,0,0,1
3,0,-2,0,0,0,-1,1
4,-5,-6,3.33333 ,4,0,-1,1
5,-10,-11,6.66667 ,7,0,-0.33333 ,0.57735 
6,-15,-15,10,10,0,0,0
