t,"xcl_th(-7,5)-s1","xcl_NAG(-7,5)-R1_1","xcl_NAG(-7,5)-R1_2","xcl_th(-7,5)-s2","xcl_NAG(-7,5)-R2_1","xcl_NAG(-7,5)-R2_2","xcl_NAG(-7,5)-R3_1","xcl_NAG(-7,5)-R3_2","xcl_Smin(-7,5)-M","xcl_Smin(-7,5)-SD"
0,-7,-7,-7,-7,-7,-7,-7,-7,-7,0
1,-7.76441,-8,-9,-2.23559,-3,-4,-4,-5,-8.48785,1.10644
2,-8.52882,-8,-11,2.52882,1,0,-3,-3,-9.64236,1.43152
3,-9.29323,-7,-11,7.29323,7,6,0,0,-8.81771,1.31338
4,-4.52882,-3,-7,6.52882,6,5,2,2,-4.69618,1.34735
5,0.23559,1,-1,5.76441,5,5,4,4,0.26563,1.06351
6,5,5,5,5,5,5,5,5,5,0
