t,"xcl_th(15,-15)","xcl_exp(15,-15)-M","xcl_exp(15,-15)-SD","xcl_th(-10,10)","xcl_exp(-10,10)-M","xcl_exp(-10,10)-SD","xcl_th(0,0)","xcl_exp(0,0)-M","xcl_exp(0,0)-SD","xcl_exp(15,-15)-Smin","xcl_exp(-10,10)-Smin","xcl_exp(0,0)-Smin"
0,15,15,0,-10,-10,0,0,0,0,15,-10,0
1,10,9.029274,1.214540737,-6.66666667,-7.263157895,0.789403506,0,-0.58966565,1.415942398,8,-7,0
2,5,3.88173302,1.333601737,-3.33333333,-4.73684211,0.884962087,0,-0.57446809,1.502462949,3,-4,0
3,0,-1.30796253,1.517388798,0,-2.13157895,0.869361532,0,-1.17325228,1.459958047,-3,-2,-1
4,-5,-5.39929742,1.40207499,3.33333333,2.17105263,0.838858874,0,-0.85714286,1.467416132,-7,2,0
5,-10,-10.4824356,1.182738558,6.66666667,5.97368421,0.747862451,0,-0.27051672,0.992232043,-12,6,0
6,-15,-15,0,10,10,0,0,0,0,-15,10,0
