t,"xcl_th(0,0)-s1","xcl_NAG(0,0)-R1","xcl_th(0,0)-s2","xcl_NAG(0,0)-R2","xcl_NAG(0,0)-R3_1","xcl_NAG(0,0)-R3_2","xcl_Smin(0,0)-M","xcl_Smin(0,0)-SD"
0,0,0,0,0,0,0,0,0
1,-2.76441,-3,2.76441,2,-1,0,-3.30631,1.13195
2,-5.52882,-6,5.52882,4,-2,-1,-6.53604,1.42570 
3,-8.29323,-8,8.29323,8,0,0,-8.50901,1.27539
4,-5.52882,-5,5.52882,5,1,1,-6.09009,1.41133
5,-2.76441,-2,2.76441,2,1,1,-2.96847,1.05243
6,0,0,0,0,0,0,0,0
