"S(-7,5)","S_NAG(-7,5)"
-0.16575 ,0.01679 
-0.08055 ,0.01680 
-0.18730 ,0.01683 
0.02359 ,0.01684 
-0.16102 ,0.01684 
-0.16074 ,0.01685 
-0.08484 ,0.01685 
-0.16415 ,0.01686 
-0.15855 ,0.01689 
-0.15072 ,0.01689 
-0.09128 ,0.01689 
-0.15862 ,0.01689 
-0.09161 ,0.01690 
-0.08809 ,0.01690 
-0.16939 ,0.01691 
-0.08968 ,0.01692 
-0.08246 ,0.01692 
-0.09454 ,0.01692 
-0.09350 ,0.01693 
-0.07369 ,0.01695 
-0.15243 ,0.01697 
-0.15693 ,0.01698 
-0.16310 ,0.01698 
-0.15703 ,0.01698 
0.02184 ,0.01699 
-0.16367 ,0.01701 
-0.18031 ,0.01701 
0.01526 ,0.01703 
-0.08168 ,0.01703 
-0.15427 ,0.01705 
-0.18284 ,0.01706 
-0.15501 ,0.01706 
-0.16067 ,0.01707 
-0.08098 ,0.01708 
-0.09631 ,0.01710 
-0.14554 ,0.01711 
0.02442 ,0.01711 
-0.15720 ,0.01712 
-0.14917 ,0.01713 
-0.16495 ,0.01713 
-0.16364 ,0.01714 
-0.18920 ,0.01714 
-0.16639 ,0.01716 
-0.17294 ,0.01717 
-0.16305 ,0.01717 
0.01954 ,0.01717 
-0.18037 ,0.01718 
-0.19575 ,0.01721 
-0.16496 ,0.01721 
-0.16529 ,0.01722 
0.04100 ,0.01723 
-0.16874 ,0.01723 
-0.16841 ,0.01726 
-0.08799 ,0.01728 
-0.07961 ,0.01730 
-0.14897 ,0.01730 
-0.08847 ,0.01732 
0.03565 ,0.01734 
0.01761 ,0.01734 
-0.15050 ,0.01736 
-0.08539 ,0.01736 
-0.07739 ,0.01736 
-0.08269 ,0.01737 
-0.06838 ,0.01739 
-0.18257 ,0.01741 
-0.16009 ,0.01742 
-0.16701 ,0.01743 
-0.07206 ,0.01747 
-0.08871 ,0.01747 
-0.08809 ,0.01747 
-0.18059 ,0.01748 
-0.18206 ,0.01749 
-0.15938 ,0.01753 
-0.15833 ,0.01753 
-0.18880 ,0.01756 
0.01994 ,0.01757 
-0.16243 ,0.01758 
-0.16549 ,0.01758 
-0.17181 ,0.01759 
-0.08443 ,0.01760 
-0.15857 ,0.01761 
-0.14803 ,0.01761 
-0.15016 ,0.01761 
-0.08732 ,0.01762 
-0.08355 ,0.01762 
-0.14385 ,0.01762 
-0.09928 ,0.01764 
-0.07107 ,0.01764 
0.01459 ,0.01764 
-0.16294 ,0.01765 
-0.17507 ,0.01765 
-0.08405 ,0.01766 
-0.08468 ,0.01768 
-0.16132 ,0.01768 
-0.08926 ,0.01769 
0.01793 ,0.01769 
-0.17815 ,0.01770 
-0.18440 ,0.01772 
-0.06962 ,0.01773 
-0.09011 ,0.01775 
-0.16489 ,0.01776 
0.02708 ,0.01777 
-0.17949 ,0.01778 
0.04356 ,0.01778 
-0.08476 ,0.01782 
-0.17265 ,0.01783 
-0.15170 ,0.01784 
0.05422 ,0.01784 
-0.15489 ,0.01785 
-0.08306 ,0.01786 
-0.08366 ,0.01786 
0.05500 ,0.01787 
-0.15035 ,0.01788 
-0.17509 ,0.01790 
-0.07954 ,0.01792 
-0.15465 ,0.01793 
-0.17875 ,0.01794 
-0.07582 ,0.01794 
-0.09466 ,0.01795 
-0.17167 ,0.01795 
0.03492 ,0.01795 
-0.17092 ,0.01796 
-0.16181 ,0.01799 
0.04593 ,0.01799 
-0.19876 ,0.01800 
-0.15680 ,0.01801 
-0.12674 ,0.01802 
-0.18609 ,0.01803 
-0.08260 ,0.01803 
0.04407 ,0.01803 
-0.16438 ,0.01803 
-0.11795 ,0.01806 
-0.12006 ,0.01806 
-0.08439 ,0.01808 
-0.16958 ,0.01809 
0.04059 ,0.01809 
0.03984 ,0.01811 
-0.08341 ,0.01811 
-0.07759 ,0.01811 
-0.08520 ,0.01813 
0.05873 ,0.01817 
-0.08502 ,0.01818 
-0.08099 ,0.01818 
-0.15432 ,0.01818 
-0.17189 ,0.01819 
-0.16030 ,0.01820 
-0.15564 ,0.01821 
0.02261 ,0.01821 
-0.08446 ,0.01823 
-0.17237 ,0.01824 
0.01756 ,0.01827 
-0.13338 ,0.01827 
0.01726 ,0.01828 
-0.18708 ,0.01828 
0.00668 ,0.01829 
-0.16514 ,0.01831 
-0.15635 ,0.01832 
-0.17563 ,0.01833 
-0.15779 ,0.01833 
-0.16426 ,0.01833 
-0.11561 ,0.01834 
0.05795 ,0.01835 
-0.06175 ,0.01836 
-0.09803 ,0.01836 
-0.14458 ,0.01836 
-0.06092 ,0.01837 
-0.08369 ,0.01839 
-0.18692 ,0.01839 
-0.18117 ,0.01840 
-0.14765 ,0.01841 
0.05134 ,0.01841 
-0.16929 ,0.01842 
0.02197 ,0.01844 
-0.15821 ,0.01844 
-0.15102 ,0.01845 
-0.07406 ,0.01845 
-0.16673 ,0.01847 
-0.07796 ,0.01848 
-0.16826 ,0.01848 
-0.07996 ,0.01848 
0.04599 ,0.01848 
0.03271 ,0.01848 
-0.07453 ,0.01849 
0.03916 ,0.01849 
-0.14942 ,0.01851 
-0.07589 ,0.01851 
-0.17005 ,0.01851 
-0.09671 ,0.01851 
-0.16324 ,0.01851 
0.03112 ,0.01851 
0.03558 ,0.01852 
-0.15850 ,0.01853 
0.03994 ,0.01853 
-0.08421 ,0.01854 
0.02736 ,0.01855 
-0.09079 ,0.01856 
-0.08000 ,0.01859 
-0.16558 ,0.01861 
-0.15339 ,0.01862 
-0.17679 ,0.01863 
-0.16672 ,0.01865 
-0.14619 ,0.01865 
-0.08996 ,0.01865 
-0.15081 ,0.01868 
-0.16400 ,0.01870 
0.02910 ,0.01870 
-0.16360 ,0.01871 
-0.08811 ,0.01872 
0.03237 ,0.01872 
-0.16161 ,0.01874 
-0.17291 ,0.01874 
-0.08725 ,0.01875 
-0.17463 ,0.01875 
0.02477 ,0.01876 
-0.07182 ,0.01876 
-0.07961 ,0.01876 
-0.05800 ,0.01876 
-0.14954 ,0.01877 
-0.17523 ,0.01877 
-0.17451 ,0.01877 
-0.19316 ,0.01877 
-0.16712 ,0.01879 
-0.08872 ,0.01879 
-0.09457 ,0.01880 
-0.06850 ,0.01880 
-0.09408 ,0.01881 
-0.06682 ,0.01882 
-0.07521 ,0.01883 
-0.09521 ,0.01884 
-0.06899 ,0.01886 
-0.09603 ,0.01886 
-0.09268 ,0.01886 
-0.16760 ,0.01887 
-0.16769 ,0.01887 
-0.18020 ,0.01888 
0.03007 ,0.01888 
0.02023 ,0.01889 
-0.16907 ,0.01890 
0.00935 ,0.01891 
-0.14942 ,0.01891 
-0.19141 ,0.01892 
-0.12585 ,0.01893 
0.03002 ,0.01893 
-0.08129 ,0.01894 
-0.04495 ,0.01894 
-0.09035 ,0.01895 
-0.16931 ,0.01895 
-0.17589 ,0.01895 
-0.17434 ,0.01896 
-0.09949 ,0.01897 
-0.12371 ,0.01898 
-0.14510 ,0.01898 
-0.17012 ,0.01899 
-0.16791 ,0.01899 
-0.08510 ,0.01900 
-0.14769 ,0.01900 
-0.12843 ,0.01901 
-0.08570 ,0.01901 
-0.14962 ,0.01902 
-0.11918 ,0.01902 
-0.09091 ,0.01902 
-0.16169 ,0.01902 
-0.14726 ,0.01905 
0.02870 ,0.01905 
-0.08767 ,0.01906 
-0.07515 ,0.01909 
-0.15577 ,0.01909 
0.02774 ,0.01910 
-0.17075 ,0.01910 
-0.15002 ,0.01910 
0.03808 ,0.01910 
-0.15113 ,0.01911 
-0.15591 ,0.01911 
-0.14824 ,0.01912 
-0.07986 ,0.01912 
0.03722 ,0.01913 
-0.10241 ,0.01914 
-0.14692 ,0.01914 
-0.16327 ,0.01916 
0.01945 ,0.01917 
-0.08707 ,0.01917 
-0.15127 ,0.01917 
-0.15188 ,0.01918 
-0.07286 ,0.01918 
-0.15662 ,0.01920 
0.03656 ,0.01923 
-0.16563 ,0.01923 
-0.17100 ,0.01923 
-0.15651 ,0.01923 
-0.10067 ,0.01924 
-0.14740 ,0.01926 
-0.07197 ,0.01926 
-0.15988 ,0.01927 
-0.07752 ,0.01930 
-0.14655 ,0.01930 
0.04518 ,0.01931 
-0.17287 ,0.01931 
-0.17760 ,0.01933 
0.03280 ,0.01933 
-0.15061 ,0.01935 
-0.15213 ,0.01935 
-0.08785 ,0.01936 
-0.16291 ,0.01936 
-0.15802 ,0.01936 
-0.15521 ,0.01937 
-0.06255 ,0.01937 
-0.07214 ,0.01939 
-0.15735 ,0.01939 
-0.14801 ,0.01941 
-0.07603 ,0.01944 
-0.09617 ,0.01944 
-0.17863 ,0.01945 
-0.08784 ,0.01945 
-0.17024 ,0.01946 
-0.16041 ,0.01946 
-0.16574 ,0.01946 
-0.14712 ,0.01947 
-0.09147 ,0.01947 
-0.16337 ,0.01947 
0.04326 ,0.01947 
0.04440 ,0.01947 
-0.14199 ,0.01948 
-0.08760 ,0.01948 
-0.14852 ,0.01948 
-0.07532 ,0.01948 
-0.19323 ,0.01948 
-0.18746 ,0.01948 
-0.06733 ,0.01948 
0.03049 ,0.01949 
-0.14988 ,0.01949 
-0.12146 ,0.01950 
-0.08219 ,0.01952 
-0.06784 ,0.01953 
-0.15460 ,0.01954 
0.03311 ,0.01954 
-0.08770 ,0.01954 
-0.16157 ,0.01955 
-0.12468 ,0.01955 
-0.12717 ,0.01957 
-0.16843 ,0.01957 
-0.15291 ,0.01957 
-0.16050 ,0.01957 
-0.14804 ,0.01958 
-0.16214 ,0.01958 
0.02427 ,0.01958 
-0.14695 ,0.01959 
-0.06919 ,0.01959 
-0.09182 ,0.01959 
0.06304 ,0.01960 
0.02776 ,0.01963 
-0.17140 ,0.01963 
-0.15332 ,0.01963 
-0.07716 ,0.01965 
0.05769 ,0.01966 
-0.14462 ,0.01967 
-0.15650 ,0.01967 
-0.14453 ,0.01967 
-0.14664 ,0.01968 
-0.15402 ,0.01968 
-0.14148 ,0.01969 
-0.15587 ,0.01969 
-0.17216 ,0.01971 
-0.16284 ,0.01973 
-0.16439 ,0.01973 
-0.15882 ,0.01974 
-0.08611 ,0.01975 
-0.12441 ,0.01976 
-0.15497 ,0.01976 
-0.08266 ,0.01977 
-0.07399 ,0.01977 
-0.17105 ,0.01977 
-0.09312 ,0.01978 
0.03268 ,0.01978 
-0.07668 ,0.01979 
-0.14216 ,0.01979 
-0.09621 ,0.01979 
0.04929 ,0.01979 
-0.14459 ,0.01980 
-0.07198 ,0.01981 
0.03922 ,0.01981 
-0.08289 ,0.01982 
-0.11181 ,0.01982 
-0.08337 ,0.01982 
-0.16088 ,0.01982 
0.05007 ,0.01983 
-0.16732 ,0.01983 
-0.08809 ,0.01983 
-0.08797 ,0.01984 
-0.14790 ,0.01984 
-0.06581 ,0.01984 
-0.08595 ,0.01984 
0.03092 ,0.01986 
-0.07691 ,0.01988 
-0.15309 ,0.01990 
-0.06143 ,0.01990 
-0.14462 ,0.01990 
-0.16961 ,0.01991 
0.04007 ,0.01993 
-0.09159 ,0.01993 
-0.14852 ,0.01993 
-0.15894 ,0.01994 
0.05242 ,0.01994 
-0.08327 ,0.01994 
-0.07829 ,0.01995 
0.05320 ,0.01997 
-0.09349 ,0.01997 
-0.10505 ,0.01998 
-0.12958 ,0.01999 
-0.06958 ,0.01999 
-0.07369 ,0.02001 
-0.08944 ,0.02002 
-0.08710 ,0.02002 
0.03490 ,0.02004 
-0.16001 ,0.02004 
-0.15433 ,0.02004 
-0.11976 ,0.02005 
-0.05102 ,0.02005 
-0.07997 ,0.02005 
-0.17205 ,0.02005 
-0.15421 ,0.02005 
0.02664 ,0.02006 
0.04413 ,0.02008 
-0.05725 ,0.02009 
-0.08149 ,0.02009 
-0.14932 ,0.02009 
-0.14977 ,0.02010 
-0.09471 ,0.02010 
-0.07734 ,0.02011 
-0.16634 ,0.02011 
0.02129 ,0.02012 
-0.05323 ,0.02012 
-0.07433 ,0.02013 
-0.18093 ,0.02013 
-0.17071 ,0.02013 
0.04176 ,0.02013 
-0.14963 ,0.02014 
-0.07697 ,0.02015 
-0.14300 ,0.02015 
-0.17282 ,0.02015 
0.03878 ,0.02016 
0.03803 ,0.02018 
-0.16022 ,0.02018 
-0.15360 ,0.02018 
-0.08404 ,0.02018 
-0.11825 ,0.02019 
-0.08632 ,0.02019 
-0.16874 ,0.02019 
0.04846 ,0.02020 
-0.08025 ,0.02020 
-0.14444 ,0.02022 
-0.07478 ,0.02022 
-0.15004 ,0.02024 
-0.14759 ,0.02025 
0.04978 ,0.02025 
-0.08221 ,0.02025 
-0.16701 ,0.02026 
-0.08054 ,0.02026 
-0.17093 ,0.02027 
0.05762 ,0.02027 
0.02803 ,0.02028 
-0.15035 ,0.02029 
-0.16183 ,0.02029 
0.04910 ,0.02029 
-0.08980 ,0.02030 
-0.16462 ,0.02031 
-0.13645 ,0.02031 
-0.07905 ,0.02032 
-0.15728 ,0.02033 
-0.07598 ,0.02033 
-0.07465 ,0.02034 
-0.14802 ,0.02034 
-0.13620 ,0.02034 
0.06672 ,0.02034 
0.05221 ,0.02034 
0.03719 ,0.02035 
-0.13281 ,0.02035 
-0.17898 ,0.02035 
-0.16578 ,0.02036 
-0.13365 ,0.02037 
-0.09608 ,0.02037 
-0.07333 ,0.02038 
-0.07694 ,0.02038 
-0.16514 ,0.02039 
-0.06731 ,0.02039 
-0.04978 ,0.02039 
-0.13667 ,0.02040 
0.06138 ,0.02040 
-0.17062 ,0.02041 
-0.07206 ,0.02042 
-0.14601 ,0.02042 
0.04142 ,0.02043 
-0.08577 ,0.02044 
-0.14431 ,0.02045 
-0.09642 ,0.02046 
-0.16986 ,0.02047 
-0.16589 ,0.02047 
-0.13840 ,0.02047 
-0.09886 ,0.02047 
-0.05038 ,0.02048 
0.05692 ,0.02048 
-0.07448 ,0.02050 
-0.14646 ,0.02051 
-0.08525 ,0.02051 
-0.15283 ,0.02051 
-0.07746 ,0.02051 
-0.06048 ,0.02052 
0.03607 ,0.02052 
-0.06887 ,0.02052 
-0.17358 ,0.02052 
0.05581 ,0.02052 
-0.18109 ,0.02053 
-0.09023 ,0.02053 
-0.14067 ,0.02054 
-0.16137 ,0.02055 
-0.11621 ,0.02055 
-0.14932 ,0.02055 
-0.15824 ,0.02056 
-0.14933 ,0.02057 
-0.07543 ,0.02057 
-0.12411 ,0.02057 
-0.07926 ,0.02057 
-0.16964 ,0.02057 
-0.16393 ,0.02058 
-0.13852 ,0.02058 
-0.07663 ,0.02059 
-0.15235 ,0.02059 
-0.06205 ,0.02060 
0.03923 ,0.02061 
-0.06914 ,0.02061 
-0.08502 ,0.02062 
-0.06357 ,0.02063 
-0.08830 ,0.02063 
-0.13067 ,0.02063 
-0.17792 ,0.02063 
-0.15767 ,0.02064 
0.05614 ,0.02064 
-0.06942 ,0.02064 
-0.07782 ,0.02065 
-0.18675 ,0.02065 
-0.16683 ,0.02065 
-0.14929 ,0.02066 
-0.16130 ,0.02066 
0.04140 ,0.02066 
-0.15482 ,0.02066 
-0.16559 ,0.02067 
-0.05910 ,0.02067 
-0.14998 ,0.02067 
-0.17591 ,0.02067 
-0.15913 ,0.02068 
-0.14005 ,0.02068 
-0.16124 ,0.02068 
-0.07897 ,0.02068 
0.05346 ,0.02069 
-0.14229 ,0.02069 
0.01338 ,0.02069 
-0.11290 ,0.02069 
0.04218 ,0.02069 
-0.08522 ,0.02070 
-0.11801 ,0.02071 
-0.14120 ,0.02071 
-0.14805 ,0.02071 
-0.14331 ,0.02071 
-0.08761 ,0.02073 
-0.14283 ,0.02074 
0.03053 ,0.02074 
-0.15494 ,0.02074 
-0.11004 ,0.02075 
-0.14243 ,0.02075 
-0.14417 ,0.02076 
-0.09492 ,0.02076 
-0.13157 ,0.02076 
-0.06188 ,0.02076 
-0.13900 ,0.02077 
0.03744 ,0.02077 
-0.14899 ,0.02077 
-0.12635 ,0.02077 
-0.15456 ,0.02077 
-0.08478 ,0.02077 
-0.16608 ,0.02078 
-0.14268 ,0.02078 
-0.03166 ,0.02078 
-0.19278 ,0.02078 
-0.11832 ,0.02078 
0.03356 ,0.02078 
-0.02748 ,0.02080 
-0.16602 ,0.02080 
-0.16211 ,0.02080 
-0.09133 ,0.02081 
-0.15023 ,0.02081 
-0.15951 ,0.02081 
-0.15628 ,0.02082 
-0.16086 ,0.02082 
-0.14575 ,0.02082 
-0.16918 ,0.02083 
-0.07213 ,0.02083 
-0.05893 ,0.02083 
-0.16024 ,0.02084 
-0.17259 ,0.02085 
0.05177 ,0.02085 
-0.06215 ,0.02085 
0.04272 ,0.02085 
-0.18639 ,0.02085 
0.03209 ,0.02085 
-0.14228 ,0.02086 
-0.07055 ,0.02086 
-0.18529 ,0.02086 
-0.16581 ,0.02087 
-0.08450 ,0.02088 
-0.00849 ,0.02089 
-0.15831 ,0.02089 
0.02701 ,0.02090 
-0.13527 ,0.02090 
-0.07770 ,0.02091 
-0.07987 ,0.02091 
-0.06822 ,0.02091 
-0.18844 ,0.02091 
0.02380 ,0.02092 
-0.16314 ,0.02092 
-0.16094 ,0.02092 
-0.14972 ,0.02093 
0.03322 ,0.02093 
-0.15774 ,0.02094 
-0.12968 ,0.02095 
-0.14910 ,0.02095 
-0.14008 ,0.02096 
-0.16673 ,0.02096 
-0.07604 ,0.02096 
-0.17879 ,0.02096 
0.05347 ,0.02096 
-0.05846 ,0.02097 
-0.08739 ,0.02097 
-0.08457 ,0.02098 
-0.12328 ,0.02099 
0.03295 ,0.02099 
-0.15291 ,0.02099 
-0.15522 ,0.02100 
-0.16910 ,0.02101 
0.05344 ,0.02101 
-0.07857 ,0.02101 
-0.15218 ,0.02102 
-0.07294 ,0.02102 
-0.15256 ,0.02102 
0.06290 ,0.02102 
0.04824 ,0.02102 
-0.15168 ,0.02102 
-0.09032 ,0.02102 
-0.11714 ,0.02102 
0.06863 ,0.02103 
-0.15861 ,0.02103 
-0.17405 ,0.02103 
-0.11722 ,0.02103 
-0.09325 ,0.02103 
-0.15799 ,0.02104 
-0.15851 ,0.02104 
-0.15205 ,0.02104 
-0.13817 ,0.02105 
-0.19559 ,0.02105 
0.04809 ,0.02106 
-0.06784 ,0.02107 
