"S(-7,5)","S_NAG(-7,5)"
-0.09337 ,0.00499 
-0.17951 ,0.00580 
-0.09816 ,0.00595 
-0.17134 ,0.00641 
-0.16556 ,0.00799 
-0.09545 ,0.00802 
-0.16820 ,0.00807 
-0.17825 ,0.00810 
-0.16623 ,0.00821 
-0.09373 ,0.00828 
-0.16548 ,0.00832 
-0.09277 ,0.00837 
-0.17211 ,0.00837 
-0.18513 ,0.00862 
-0.17031 ,0.00865 
-0.09831 ,0.00890 
-0.17106 ,0.00919 
-0.18683 ,0.00923 
-0.17656 ,0.00925 
-0.10286 ,0.00929 
-0.09555 ,0.00929 
-0.17539 ,0.00932 
-0.16344 ,0.00939 
-0.19397 ,0.00954 
-0.17190 ,0.00959 
-0.17317 ,0.00970 
-0.16555 ,0.00989 
-0.09084 ,0.01012 
-0.10613 ,0.01016 
-0.16556 ,0.01018 
-0.17149 ,0.01019 
-0.17667 ,0.01026 
-0.16814 ,0.01033 
0.02270 ,0.01036 
-0.16255 ,0.01040 
-0.16466 ,0.01040 
-0.16387 ,0.01049 
-0.09794 ,0.01052 
0.01735 ,0.01053 
-0.18563 ,0.01053 
-0.15744 ,0.01056 
-0.15955 ,0.01057 
-0.16854 ,0.01061 
-0.17199 ,0.01073 
-0.08993 ,0.01073 
-0.10463 ,0.01074 
-0.09460 ,0.01084 
-0.16436 ,0.01088 
-0.08629 ,0.01092 
-0.09843 ,0.01093 
-0.09891 ,0.01108 
-0.16938 ,0.01114 
-0.17342 ,0.01114 
-0.18961 ,0.01116 
-0.16045 ,0.01116 
-0.16116 ,0.01121 
-0.18764 ,0.01127 
-0.08984 ,0.01132 
-0.15879 ,0.01134 
-0.09766 ,0.01136 
-0.08687 ,0.01140 
-0.08537 ,0.01142 
-0.16682 ,0.01153 
-0.16873 ,0.01156 
-0.18411 ,0.01161 
-0.08722 ,0.01165 
-0.17550 ,0.01176 
-0.18366 ,0.01178 
-0.18798 ,0.01183 
-0.18005 ,0.01185 
-0.16667 ,0.01197 
-0.09601 ,0.01197 
-0.15925 ,0.01203 
-0.10254 ,0.01206 
-0.10388 ,0.01221 
-0.09227 ,0.01223 
-0.16089 ,0.01223 
-0.18967 ,0.01228 
-0.17298 ,0.01232 
-0.17692 ,0.01240 
-0.17062 ,0.01240 
-0.16587 ,0.01245 
-0.09135 ,0.01247 
0.02537 ,0.01248 
-0.17279 ,0.01255 
-0.10104 ,0.01256 
-0.17953 ,0.01259 
-0.09781 ,0.01259 
-0.08837 ,0.01260 
-0.16182 ,0.01260 
-0.17136 ,0.01262 
0.02002 ,0.01262 
-0.08329 ,0.01266 
0.01407 ,0.01268 
0.02904 ,0.01268 
-0.10238 ,0.01270 
-0.17903 ,0.01278 
-0.17699 ,0.01278 
0.02369 ,0.01282 
-0.08569 ,0.01282 
-0.09463 ,0.01288 
0.01177 ,0.01291 
-0.09089 ,0.01291 
-0.16807 ,0.01294 
-0.19099 ,0.01296 
-0.09400 ,0.01297 
-0.17363 ,0.01297 
-0.08064 ,0.01305 
-0.16644 ,0.01306 
-0.16342 ,0.01309 
-0.15766 ,0.01312 
-0.15977 ,0.01313 
-0.16493 ,0.01317 
0.00944 ,0.01323 
-0.09343 ,0.01332 
0.03735 ,0.01332 
-0.10153 ,0.01333 
-0.16215 ,0.01335 
-0.14863 ,0.01336 
-0.19268 ,0.01337 
-0.16496 ,0.01338 
-0.09062 ,0.01338 
-0.10236 ,0.01341 
-0.09506 ,0.01342 
-0.15584 ,0.01342 
-0.18294 ,0.01345 
0.03200 ,0.01345 
-0.08284 ,0.01347 
-0.17079 ,0.01350 
-0.16278 ,0.01351 
-0.15681 ,0.01353 
-0.16704 ,0.01354 
-0.16874 ,0.01354 
-0.17145 ,0.01356 
-0.17808 ,0.01359 
-0.19983 ,0.01359 
-0.15671 ,0.01361 
-0.16604 ,0.01364 
-0.15950 ,0.01365 
-0.09193 ,0.01366 
-0.08994 ,0.01367 
-0.16999 ,0.01368 
-0.09616 ,0.01372 
-0.16229 ,0.01379 
-0.16356 ,0.01386 
-0.15211 ,0.01392 
-0.15422 ,0.01392 
-0.10064 ,0.01392 
-0.09112 ,0.01392 
-0.10071 ,0.01393 
-0.09341 ,0.01394 
-0.15646 ,0.01394 
-0.08733 ,0.01395 
-0.09038 ,0.01395 
-0.17211 ,0.01398 
-0.10131 ,0.01399 
-0.09136 ,0.01403 
-0.15287 ,0.01403 
0.03047 ,0.01405 
-0.18168 ,0.01408 
-0.17360 ,0.01409 
-0.07856 ,0.01414 
-0.17242 ,0.01415 
-0.17042 ,0.01416 
-0.19248 ,0.01416 
0.02512 ,0.01418 
-0.08894 ,0.01420 
-0.18364 ,0.01421 
0.03099 ,0.01422 
-0.17459 ,0.01424 
0.02041 ,0.01426 
0.03177 ,0.01426 
-0.16669 ,0.01427 
-0.17921 ,0.01429 
-0.19682 ,0.01433 
-0.17127 ,0.01433 
-0.09913 ,0.01436 
-0.15512 ,0.01438 
-0.09046 ,0.01440 
-0.15529 ,0.01440 
-0.09980 ,0.01442 
-0.16298 ,0.01444 
0.01674 ,0.01446 
0.01811 ,0.01447 
-0.08634 ,0.01448 
-0.08899 ,0.01451 
-0.17144 ,0.01452 
-0.17412 ,0.01453 
-0.16473 ,0.01453 
-0.18268 ,0.01455 
-0.17836 ,0.01455 
0.01660 ,0.01456 
-0.18533 ,0.01458 
-0.09681 ,0.01460 
-0.17340 ,0.01462 
-0.17574 ,0.01464 
0.01444 ,0.01467 
-0.15939 ,0.01470 
-0.09063 ,0.01470 
-0.17968 ,0.01473 
-0.16467 ,0.01481 
-0.16230 ,0.01485 
-0.16110 ,0.01489 
-0.09493 ,0.01491 
0.04564 ,0.01492 
0.01211 ,0.01495 
0.04642 ,0.01496 
-0.07979 ,0.01498 
-0.15074 ,0.01498 
-0.10099 ,0.01504 
-0.16841 ,0.01506 
-0.15392 ,0.01506 
-0.16100 ,0.01506 
-0.18539 ,0.01509 
-0.16390 ,0.01509 
-0.09241 ,0.01509 
-0.17290 ,0.01511 
0.01578 ,0.01512 
-0.15808 ,0.01512 
-0.15775 ,0.01517 
-0.18444 ,0.01517 
-0.19291 ,0.01518 
-0.15810 ,0.01520 
-0.16031 ,0.01521 
-0.17406 ,0.01523 
0.03126 ,0.01524 
-0.09009 ,0.01525 
-0.08209 ,0.01526 
-0.08946 ,0.01526 
0.03087 ,0.01526 
-0.15928 ,0.01531 
-0.16139 ,0.01531 
-0.16657 ,0.01532 
-0.15242 ,0.01533 
0.02093 ,0.01533 
-0.17859 ,0.01534 
-0.07444 ,0.01536 
-0.18603 ,0.01536 
-0.16412 ,0.01537 
-0.09211 ,0.01538 
0.02552 ,0.01538 
-0.17072 ,0.01541 
-0.09464 ,0.01542 
-0.08789 ,0.01543 
-0.08801 ,0.01543 
-0.09144 ,0.01547 
-0.15741 ,0.01548 
-0.07109 ,0.01550 
-0.16021 ,0.01551 
-0.09293 ,0.01554 
0.03876 ,0.01558 
-0.16311 ,0.01558 
-0.08367 ,0.01560 
-0.15318 ,0.01560 
0.03954 ,0.01562 
-0.08519 ,0.01562 
-0.16109 ,0.01564 
0.02409 ,0.01565 
-0.16187 ,0.01568 
-0.16810 ,0.01570 
-0.17746 ,0.01572 
-0.14706 ,0.01573 
-0.15848 ,0.01573 
-0.15947 ,0.01574 
-0.16428 ,0.01576 
0.05314 ,0.01580 
-0.16135 ,0.01581 
-0.18007 ,0.01582 
0.03366 ,0.01583 
0.03443 ,0.01587 
0.04779 ,0.01588 
0.02437 ,0.01589 
-0.16901 ,0.01589 
0.03960 ,0.01589 
-0.09364 ,0.01589 
-0.15298 ,0.01594 
0.03425 ,0.01597 
-0.17450 ,0.01600 
-0.09741 ,0.01602 
-0.08519 ,0.01603 
-0.17752 ,0.01606 
-0.08909 ,0.01607 
-0.16301 ,0.01609 
-0.08959 ,0.01611 
-0.08921 ,0.01611 
-0.09039 ,0.01614 
0.01927 ,0.01614 
-0.15977 ,0.01615 
-0.08462 ,0.01615 
-0.15976 ,0.01616 
-0.15408 ,0.01618 
-0.18118 ,0.01619 
-0.07778 ,0.01620 
-0.16845 ,0.01621 
-0.16260 ,0.01623 
-0.16292 ,0.01624 
-0.16441 ,0.01627 
-0.18123 ,0.01628 
0.01721 ,0.01628 
-0.07679 ,0.01629 
-0.18126 ,0.01629 
-0.09517 ,0.01633 
-0.08860 ,0.01633 
-0.15138 ,0.01635 
0.02873 ,0.01639 
-0.09008 ,0.01640 
-0.15865 ,0.01640 
-0.07434 ,0.01641 
-0.09271 ,0.01641 
0.03733 ,0.01643 
-0.09671 ,0.01643 
-0.15862 ,0.01645 
-0.09293 ,0.01646 
0.03811 ,0.01647 
-0.16446 ,0.01648 
-0.16408 ,0.01649 
-0.16476 ,0.01649 
-0.16434 ,0.01649 
-0.09362 ,0.01652 
-0.16465 ,0.01653 
-0.08354 ,0.01654 
-0.09604 ,0.01655 
-0.08713 ,0.01655 
-0.09185 ,0.01656 
-0.08646 ,0.01656 
-0.16019 ,0.01657 
-0.17276 ,0.01657 
-0.07435 ,0.01657 
-0.17713 ,0.01657 
-0.08849 ,0.01657 
0.02642 ,0.01657 
-0.08874 ,0.01657 
-0.08267 ,0.01659 
0.03988 ,0.01660 
0.02224 ,0.01660 
-0.17664 ,0.01661 
-0.16140 ,0.01666 
-0.08249 ,0.01666 
-0.17267 ,0.01666 
-0.16199 ,0.01666 
0.02727 ,0.01666 
-0.17910 ,0.01667 
0.02634 ,0.01668 
-0.17862 ,0.01669 
0.02294 ,0.01672 
-0.08584 ,0.01674 
-0.08551 ,0.01677 
0.01994 ,0.01678 
-0.16278 ,0.01678 
