j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
330001 ,0.32512 ,0.30337 ,0.01484 ,0.51247 ,0.54181 ,0.01540 ,0.75493 ,0.80281 ,0.01683 ,34,0.00880 ,0.18034 ,0.49297 
340001 ,0.33063 ,0.33392 ,0.00288 ,0.51247 ,0.48080 ,0.00556 ,0.75493 ,0.82870 ,0.01693 ,35,0.00999 ,0.18298 ,0.48600 
350001 ,0.33614 ,0.34863 ,0.00698 ,0.51798 ,0.51023 ,0.01214 ,0.76044 ,0.87195 ,0.02838 ,36,0.01245 ,0.17573 ,0.47915 
360001 ,0.33614 ,0.33499 ,0.01996 ,0.52349 ,0.52076 ,0.01234 ,0.76595 ,0.82255 ,0.02823 ,37,-0.00259 ,0.17735 ,0.49091 
370001 ,0.34165 ,0.32848 ,0.02124 ,0.52349 ,0.48495 ,0.01211 ,0.77146 ,0.86589 ,0.03631 ,38,0.00220 ,0.16336 ,0.50215 
380001 ,0.34716 ,0.33629 ,0.00662 ,0.52900 ,0.49627 ,0.01107 ,0.77146 ,0.86574 ,0.01715 ,39,0.00426 ,0.16105 ,0.50544 
390001 ,0.35267 ,0.33225 ,0.00657 ,0.53451 ,0.49233 ,0.01218 ,0.78248 ,0.82787 ,0.03546 ,40,0.00673 ,0.16063 ,0.50756 
400001 ,0.35267 ,0.39511 ,0.00897 ,0.53451 ,0.48629 ,0.01662 ,0.78248 ,0.87384 ,0.01060 ,41,0.01752 ,0.17542 ,0.46956 
410001 ,0.35818 ,0.36128 ,0.02081 ,0.54002 ,0.54326 ,0.00871 ,0.78799 ,0.86297 ,0.01935 ,42,0.00281 ,0.17311 ,0.47930 
420001 ,0.35818 ,0.39942 ,0.01156 ,0.54553 ,0.53381 ,0.01522 ,0.78799 ,0.88954 ,0.02444 ,43,0.01311 ,0.17407 ,0.47233 
430001 ,0.36369 ,0.34170 ,0.00685 ,0.54553 ,0.58123 ,0.01420 ,0.79350 ,0.83564 ,0.00467 ,44,0.02738 ,0.17011 ,0.47849 
440001 ,0.36920 ,0.37072 ,0.01254 ,0.55104 ,0.56140 ,0.02437 ,0.79901 ,0.83575 ,0.00434 ,45,0.02985 ,0.18251 ,0.48823 
450001 ,0.36920 ,0.35026 ,0.01071 ,0.55104 ,0.50650 ,0.00707 ,0.80452 ,0.91402 ,0.01350 ,46,0.01642 ,0.18547 ,0.48492 
460001 ,0.37471 ,0.37219 ,0.00593 ,0.55655 ,0.55399 ,0.01747 ,0.80452 ,0.85120 ,0.03643 ,47,0.02672 ,0.19590 ,0.49152 
470001 ,0.37471 ,0.38078 ,0.00569 ,0.56206 ,0.59255 ,0.01381 ,0.81003 ,0.88215 ,0.02233 ,48,0.01061 ,0.19728 ,0.49365 
480001 ,0.38022 ,0.39925 ,0.03188 ,0.56206 ,0.53671 ,0.03010 ,0.81554 ,0.83392 ,0.01742 ,49,0.02020 ,0.16882 ,0.48693 
490001 ,0.38573 ,0.37591 ,0.00455 ,0.56757 ,0.53107 ,0.00590 ,0.82105 ,0.83235 ,0.00741 ,50,0.01548 ,0.16651 ,0.48744 
500001 ,0.38573 ,0.40041 ,0.00279 ,0.56757 ,0.58296 ,0.01659 ,0.82105 ,0.88010 ,0.00969 ,51,0.01794 ,0.16747 ,0.50174 
510001 ,0.39124 ,0.39451 ,0.02035 ,0.57308 ,0.52549 ,0.00469 ,0.82656 ,0.88525 ,0.02377 ,52,0.00290 ,0.17453 ,0.48208 
520001 ,0.39124 ,0.36703 ,0.01104 ,0.57859 ,0.52959 ,0.01680 ,0.83207 ,0.92196 ,0.02201 ,53,0.03163 ,0.17592 ,0.47077 
