j,"S_th(0,0)","S_exp(0,0)-M","S_exp(0,0)-SD","S_th(-10,10)","S_exp(-10,10)-M","S_exp(-10,10)-SD","S_th(15,-15)","S_exp(15,-15)-M","S_exp(15,-15)-SD",j_subfigure,"S_subfigure(0,0)","S_subfigure(-10,10)","S_subfigure(15,-15)"
9510001 ,1.41067 ,1.40329 ,0.03274 ,1.80741 ,1.75650 ,0.01522 ,2.34192 ,2.43619 ,0.01420 ,952,0.03721 ,0.19928 ,0.48165 
9520001 ,1.41067 ,1.46923 ,0.02642 ,1.80741 ,1.86316 ,0.00883 ,2.34743 ,2.40437 ,0.01423 ,953,0.02771 ,0.19937 ,0.47477 
9530001 ,1.41067 ,1.40710 ,0.01050 ,1.81292 ,1.79506 ,0.02212 ,2.34743 ,2.40492 ,0.00650 ,954,0.03090 ,0.20091 ,0.48137 
9540001 ,1.41067 ,1.43493 ,0.01014 ,1.81292 ,1.86648 ,0.03904 ,2.34743 ,2.39453 ,0.02353 ,955,0.04890 ,0.22172 ,0.50008 
9550001 ,1.41618 ,1.36082 ,0.01575 ,1.81292 ,1.83830 ,0.00257 ,2.35295 ,2.41850 ,0.01214 ,956,0.03956 ,0.21493 ,0.49062 
9560001 ,1.41618 ,1.41240 ,0.00886 ,1.81292 ,1.82430 ,0.01471 ,2.35295 ,2.47428 ,0.03433 ,957,0.04276 ,0.19948 ,0.50465 
9570001 ,1.41618 ,1.41113 ,0.00634 ,1.81843 ,1.87601 ,0.01048 ,2.35295 ,2.34287 ,0.02872 ,958,0.02569 ,0.18984 ,0.50731 
9580001 ,1.41618 ,1.45910 ,0.01247 ,1.81843 ,1.76869 ,0.01196 ,2.35295 ,2.46974 ,0.02404 ,959,0.03599 ,0.18753 ,0.51732 
9590001 ,1.41618 ,1.41562 ,0.00689 ,1.81843 ,1.81284 ,0.02130 ,2.35295 ,2.40517 ,0.02929 ,960,0.02150 ,0.18711 ,0.50334 
9600001 ,1.41618 ,1.40060 ,0.01804 ,1.81843 ,1.81840 ,0.01944 ,2.35295 ,2.41128 ,0.01636 ,961,0.03070 ,0.20190 ,0.49282 
9610001 ,1.41618 ,1.49077 ,0.01461 ,1.81843 ,1.87097 ,0.01549 ,2.35846 ,2.42837 ,0.01221 ,962,0.01002 ,0.19959 ,0.49941 
9620001 ,1.42169 ,1.43857 ,0.01811 ,1.82395 ,1.78441 ,0.00787 ,2.35846 ,2.35836 ,0.01252 ,963,0.05226 ,0.20055 ,0.50296 
9630001 ,1.42169 ,1.43923 ,0.03344 ,1.82395 ,1.85228 ,0.03762 ,2.35846 ,2.44805 ,0.03513 ,964,0.03720 ,0.19659 ,0.47505 
9640001 ,1.42169 ,1.46195 ,0.02130 ,1.82395 ,1.76481 ,0.02482 ,2.35846 ,2.45334 ,0.00941 ,965,0.04356 ,0.20900 ,0.47571 
9650001 ,1.42169 ,1.44733 ,0.00984 ,1.82395 ,1.84287 ,0.02216 ,2.35846 ,2.49068 ,0.01838 ,966,0.03621 ,0.21195 ,0.48284 
9660001 ,1.42169 ,1.37678 ,0.01713 ,1.82395 ,1.84207 ,0.01724 ,2.36397 ,2.41022 ,0.01201 ,967,0.04651 ,0.22238 ,0.48944 
9670001 ,1.42169 ,1.42705 ,0.01461 ,1.82946 ,1.80516 ,0.01411 ,2.36397 ,2.43498 ,0.01802 ,968,0.03202 ,0.22376 ,0.49299 
9680001 ,1.42720 ,1.45616 ,0.02749 ,1.82946 ,1.83565 ,0.01896 ,2.36397 ,2.44639 ,0.01728 ,969,0.04122 ,0.19308 ,0.48643 
9690001 ,1.42720 ,1.47931 ,0.02332 ,1.82946 ,1.80948 ,0.02828 ,2.36948 ,2.43257 ,0.04831 ,970,0.02054 ,0.19001 ,0.49442 
9700001 ,1.42720 ,1.39273 ,0.03358 ,1.82946 ,1.76906 ,0.02214 ,2.36948 ,2.39226 ,0.01557 ,971,0.06278 ,0.18605 ,0.48942 
9710001 ,1.42720 ,1.43858 ,0.02657 ,1.82946 ,1.80385 ,0.02919 ,2.36948 ,2.49100 ,0.02601 ,972,0.03200 ,0.19164 ,0.49130 
9720001 ,1.42720 ,1.48992 ,0.00643 ,1.82946 ,1.81994 ,0.03671 ,2.36948 ,2.37413 ,0.00641 ,973,0.03078 ,0.20041 ,0.49929 
9730001 ,1.42720 ,1.49992 ,0.01162 ,1.83497 ,1.78648 ,0.01205 ,2.36948 ,2.46168 ,0.02369 ,974,0.04037 ,0.19589 ,0.48651 
9740001 ,1.42720 ,1.42571 ,0.00519 ,1.83497 ,1.87231 ,0.02297 ,2.37499 ,2.43297 ,0.01397 ,975,0.03952 ,0.20517 ,0.50054 
9750001 ,1.43271 ,1.42926 ,0.00510 ,1.83497 ,1.89509 ,0.02340 ,2.37499 ,2.37696 ,0.01812 ,976,0.04911 ,0.20247 ,0.49367 
9760001 ,1.43271 ,1.43884 ,0.01682 ,1.83497 ,1.80246 ,0.02176 ,2.37499 ,2.46202 ,0.01237 ,977,0.04286 ,0.19124 ,0.50026 
9770001 ,1.43271 ,1.43630 ,0.02424 ,1.83497 ,1.86190 ,0.01464 ,2.37499 ,2.41831 ,0.00421 ,978,0.04161 ,0.20652 ,0.50782 
9780001 ,1.43271 ,1.48920 ,0.03307 ,1.84048 ,1.83386 ,0.02185 ,2.37499 ,2.39505 ,0.02061 ,979,0.05120 ,0.20256 ,0.50848 
9790001 ,1.43271 ,1.44156 ,0.01191 ,1.84048 ,1.82440 ,0.03781 ,2.38050 ,2.43213 ,0.02177 ,980,0.04496 ,0.21748 ,0.51508 
9800001 ,1.43271 ,1.49203 ,0.00830 ,1.84048 ,1.79690 ,0.01266 ,2.38050 ,2.41024 ,0.01546 ,981,0.05225 ,0.21478 ,0.48183 
9810001 ,1.43271 ,1.49277 ,0.01568 ,1.84048 ,1.84653 ,0.03146 ,2.38050 ,2.51172 ,0.02576 ,982,0.00774 ,0.20852 ,0.47892 
9820001 ,1.43271 ,1.39206 ,0.03026 ,1.84048 ,1.84375 ,0.01816 ,2.38050 ,2.46559 ,0.00922 ,983,0.02234 ,0.21768 ,0.47250 
9830001 ,1.43822 ,1.41472 ,0.02012 ,1.84599 ,1.79936 ,0.02991 ,2.38601 ,2.40772 ,0.00879 ,984,0.01696 ,0.21331 ,0.48653 
9840001 ,1.43822 ,1.49198 ,0.01528 ,1.84599 ,1.89226 ,0.01630 ,2.38601 ,2.44099 ,0.01679 ,985,0.00721 ,0.20695 ,0.48556 
9850001 ,1.43822 ,1.43015 ,0.02993 ,1.84599 ,1.77431 ,0.01439 ,2.38601 ,2.47500 ,0.03071 ,986,0.02110 ,0.20425 ,0.48498 
9860001 ,1.43822 ,1.44474 ,0.03501 ,1.84599 ,1.86397 ,0.01753 ,2.38601 ,2.43225 ,0.01604 ,987,0.01154 ,0.19302 ,0.50300 
9870001 ,1.43822 ,1.46669 ,0.01073 ,1.84599 ,1.80822 ,0.03579 ,2.39152 ,2.51449 ,0.01917 ,988,0.02184 ,0.21198 ,0.49843 
9880001 ,1.44373 ,1.48513 ,0.03369 ,1.84599 ,1.80157 ,0.01627 ,2.39152 ,2.42391 ,0.01325 ,989,0.03585 ,0.21126 ,0.49945 
9890001 ,1.44373 ,1.49778 ,0.03158 ,1.85150 ,1.82878 ,0.01728 ,2.39152 ,2.46654 ,0.03276 ,990,0.01590 ,0.20658 ,0.49429 
9900001 ,1.44373 ,1.40162 ,0.00818 ,1.85150 ,1.86627 ,0.02927 ,2.39152 ,2.41965 ,0.01143 ,991,0.02979 ,0.21575 ,0.50229 
9910001 ,1.44373 ,1.44522 ,0.02099 ,1.85150 ,1.90948 ,0.00808 ,2.39152 ,2.50623 ,0.00892 ,992,0.02022 ,0.21426 ,0.49769 
9920001 ,1.44373 ,1.50890 ,0.01973 ,1.85150 ,1.83805 ,0.00529 ,2.39703 ,2.42901 ,0.02634 ,993,0.03052 ,0.22534 ,0.50191 
9930001 ,1.44373 ,1.45273 ,0.02768 ,1.85150 ,1.86454 ,0.00575 ,2.39703 ,2.45334 ,0.02002 ,994,0.04383 ,0.22264 ,0.51192 
9940001 ,1.44373 ,1.46901 ,0.01847 ,1.85701 ,1.87265 ,0.01736 ,2.39703 ,2.40099 ,0.01696 ,995,0.03902 ,0.22131 ,0.51090 
9950001 ,1.44924 ,1.40277 ,0.01532 ,1.85701 ,1.87423 ,0.02246 ,2.39703 ,2.48953 ,0.02430 ,996,0.05291 ,0.22847 ,0.50144 
9960001 ,1.44924 ,1.38559 ,0.01387 ,1.85701 ,1.86238 ,0.01794 ,2.40254 ,2.44799 ,0.01006 ,997,0.02835 ,0.21614 ,0.51547 
9970001 ,1.44924 ,1.46907 ,0.04347 ,1.85701 ,1.82449 ,0.02165 ,2.40254 ,2.41075 ,0.02773 ,998,0.02273 ,0.21911 ,0.51813 
9980001 ,1.44924 ,1.50076 ,0.00395 ,1.85701 ,1.89911 ,0.01950 ,2.40254 ,2.48875 ,0.01696 ,999,0.03919 ,0.22827 ,0.52814 
9990001 ,1.44924 ,1.43334 ,0.01231 ,1.86252 ,1.82494 ,0.01377 ,2.40254 ,2.40960 ,0.01126 ,1000,0.02769 ,0.19186 ,0.51417 
10000000 ,1.44924 ,1.45839 ,0.03476 ,1.86252 ,1.81863 ,0.02304 ,2.40805 ,2.46921 ,0.01304 ,1001,0.03799 ,0.19607 ,0.51469 
10010000 ,1.44924 ,1.50822 ,0.02382 ,1.86252 ,1.83345 ,0.02606 ,2.40805 ,2.50785 ,0.02597 ,1002,0.02350 ,0.19376 ,0.48501 
10020000 ,1.44924 ,1.52948 ,0.01489 ,1.86252 ,1.83279 ,0.01306 ,2.40805 ,2.46430 ,0.04968 ,1003,0.02346 ,0.19476 ,0.50303 
10030000 ,1.45475 ,1.48401 ,0.01020 ,1.86252 ,1.85931 ,0.03057 ,2.40805 ,2.47124 ,0.03222 ,1004,0.01808 ,0.19985 ,0.49846 
10040000 ,1.45475 ,1.44502 ,0.02149 ,1.86252 ,1.92690 ,0.00579 ,2.40805 ,2.41902 ,0.01058 ,1005,0.00833 ,0.20701 ,0.49948 
10050000 ,1.45475 ,1.46609 ,0.02359 ,1.86803 ,1.88030 ,0.02525 ,2.41356 ,2.47711 ,0.02846 ,1006,0.02222 ,0.20043 ,0.50691 
10060000 ,1.45475 ,1.45438 ,0.01914 ,1.86803 ,1.83368 ,0.02154 ,2.41356 ,2.51277 ,0.03320 ,1007,0.01266 ,0.20053 ,0.52796 
10070000 ,1.45475 ,1.44432 ,0.02031 ,1.86803 ,1.93286 ,0.03293 ,2.41356 ,2.46170 ,0.01171 ,1008,0.02296 ,0.20207 ,0.48062 
10080000 ,1.46026 ,1.50491 ,0.01379 ,1.86803 ,1.91629 ,0.02486 ,2.41356 ,2.40541 ,0.03324 ,1009,0.03102 ,0.22288 ,0.48861 
10090000 ,1.46026 ,1.47143 ,0.01767 ,1.86803 ,1.90469 ,0.03152 ,2.41907 ,2.50834 ,0.02909 ,1010,0.03519 ,0.21609 ,0.48402 
10100000 ,1.46026 ,1.48440 ,0.03966 ,1.87354 ,1.81997 ,0.00519 ,2.41907 ,2.50905 ,0.01394 ,1011,0.02564 ,0.20695 ,0.48823 
10110000 ,1.46026 ,1.43941 ,0.03652 ,1.87354 ,1.85158 ,0.01497 ,2.41907 ,2.43101 ,0.00276 ,1012,0.01877 ,0.21738 ,0.49825 
10120000 ,1.46026 ,1.49287 ,0.00885 ,1.87354 ,1.83876 ,0.02357 ,2.41907 ,2.47195 ,0.02015 ,1013,0.03266 ,0.21876 ,0.48478 
10130000 ,1.46026 ,1.52076 ,0.01053 ,1.87354 ,1.90080 ,0.01870 ,2.41907 ,2.43320 ,0.02576 ,1014,0.04405 ,0.19804 ,0.49882 
10140000 ,1.46026 ,1.44330 ,0.03396 ,1.87354 ,1.89719 ,0.01176 ,2.42458 ,2.48147 ,0.01999 ,1015,0.02776 ,0.19408 ,0.49115 
10150000 ,1.46577 ,1.49459 ,0.01506 ,1.87905 ,1.90423 ,0.02782 ,2.42458 ,2.50484 ,0.05351 ,1016,0.02214 ,0.20900 ,0.50491 
10160000 ,1.46577 ,1.47793 ,0.01886 ,1.87905 ,1.90474 ,0.01168 ,2.42458 ,2.49299 ,0.02405 ,1017,0.04438 ,0.20631 ,0.50248 
10170000 ,1.46577 ,1.55285 ,0.00872 ,1.87905 ,1.84079 ,0.02148 ,2.42458 ,2.48712 ,0.01644 ,1018,0.03957 ,0.20004 ,0.50585 
10180000 ,1.46577 ,1.40251 ,0.00434 ,1.87905 ,1.91050 ,0.02331 ,2.43009 ,2.42282 ,0.02278 ,1019,0.05346 ,0.20921 ,0.50499 
10190000 ,1.46577 ,1.46293 ,0.03616 ,1.87905 ,1.89036 ,0.00978 ,2.43009 ,2.54354 ,0.03752 ,1020,0.02890 ,0.20207 ,0.51158 
10200000 ,1.46577 ,1.41887 ,0.01234 ,1.88456 ,1.86824 ,0.02229 ,2.43009 ,2.53590 ,0.02993 ,1021,0.02328 ,0.21291 ,0.50995 
10210000 ,1.46577 ,1.54557 ,0.01287 ,1.88456 ,1.90623 ,0.01953 ,2.43009 ,2.48682 ,0.01826 ,1022,0.03975 ,0.21022 ,0.51868 
10220000 ,1.47128 ,1.50163 ,0.02896 ,1.88456 ,1.89626 ,0.02228 ,2.43560 ,2.46380 ,0.01411 ,1023,0.04181 ,0.20888 ,0.52205 
10230000 ,1.47128 ,1.49370 ,0.01431 ,1.88456 ,1.93296 ,0.00491 ,2.43560 ,2.49280 ,0.00682 ,1024,0.03908 ,0.21604 ,0.48308 
10240000 ,1.47128 ,1.46443 ,0.01142 ,1.88456 ,1.83050 ,0.01271 ,2.43560 ,2.55740 ,0.02579 ,1025,0.04867 ,0.20189 ,0.48374 
10250000 ,1.47128 ,1.49367 ,0.01988 ,1.89007 ,1.88084 ,0.02387 ,2.43560 ,2.47547 ,0.01601 ,1026,0.04242 ,0.21712 ,0.49207 
10260000 ,1.47128 ,1.41581 ,0.01248 ,1.89007 ,1.87394 ,0.00538 ,2.43560 ,2.46709 ,0.02859 ,1027,0.04312 ,0.21033 ,0.48261 
10270000 ,1.47128 ,1.50452 ,0.02696 ,1.89007 ,1.86649 ,0.02016 ,2.44111 ,2.50658 ,0.02101 ,1028,0.04729 ,0.22024 ,0.49664 
10280000 ,1.47679 ,1.49660 ,0.01413 ,1.89007 ,1.83684 ,0.01682 ,2.44111 ,2.47703 ,0.02732 ,1029,0.05370 ,0.22940 ,0.49930 
10290000 ,1.47679 ,1.46957 ,0.03302 ,1.89007 ,1.86285 ,0.02871 ,2.44111 ,2.54234 ,0.01795 ,1030,0.04094 ,0.21958 ,0.50932 
10300000 ,1.47679 ,1.52168 ,0.03455 ,1.89007 ,1.91807 ,0.02246 ,2.44111 ,2.45549 ,0.02007 ,1031,0.03998 ,0.20161 ,0.49534 
10310000 ,1.47679 ,1.49921 ,0.01890 ,1.89558 ,1.86379 ,0.00369 ,2.44111 ,2.45117 ,0.02899 ,1032,0.01931 ,0.20486 ,0.50412 
10320000 ,1.47679 ,1.50884 ,0.04194 ,1.89558 ,1.88295 ,0.00402 ,2.44111 ,2.48600 ,0.03554 ,1033,0.03638 ,0.20783 ,0.51072 
10330000 ,1.47679 ,1.51798 ,0.01209 ,1.89558 ,1.95465 ,0.01195 ,2.44662 ,2.44274 ,0.00875 ,1034,0.04274 ,0.21700 ,0.50909 
10340000 ,1.47679 ,1.48145 ,0.00914 ,1.89558 ,1.87197 ,0.02595 ,2.44662 ,2.51111 ,0.03336 ,1035,0.03292 ,0.20535 ,0.51910 
10350000 ,1.47679 ,1.41948 ,0.01021 ,1.89558 ,1.87042 ,0.02067 ,2.44662 ,2.57028 ,0.01485 ,1036,0.03170 ,0.21768 ,0.51781 
10360000 ,1.48230 ,1.44406 ,0.02515 ,1.89558 ,1.93925 ,0.04079 ,2.45213 ,2.46418 ,0.01573 ,1037,0.04129 ,0.21372 ,0.52118 
10370000 ,1.48230 ,1.53991 ,0.03361 ,1.90109 ,1.88770 ,0.01555 ,2.45213 ,2.48107 ,0.01610 ,1038,0.04044 ,0.21343 ,0.50853 
10380000 ,1.48230 ,1.52208 ,0.03133 ,1.90109 ,1.93914 ,0.04118 ,2.45213 ,2.46233 ,0.01630 ,1039,0.05003 ,0.20944 ,0.48788 
10390000 ,1.48230 ,1.55475 ,0.03219 ,1.90109 ,1.83172 ,0.00503 ,2.45213 ,2.51157 ,0.01252 ,1040,0.04378 ,0.21551 ,0.48915 
10400000 ,1.48230 ,1.46624 ,0.01114 ,1.90109 ,1.91449 ,0.02715 ,2.45213 ,2.47145 ,0.00032 ,1041,0.03059 ,0.22279 ,0.50335 
10410000 ,1.48230 ,1.52527 ,0.00301 ,1.90109 ,1.89657 ,0.02552 ,2.45764 ,2.53801 ,0.02341 ,1042,0.02786 ,0.21823 ,0.50256 
10420000 ,1.48230 ,1.54760 ,0.01368 ,1.90660 ,1.95839 ,0.00523 ,2.45764 ,2.56382 ,0.00926 ,1043,0.03745 ,0.21427 ,0.48459 
10430000 ,1.48781 ,1.50243 ,0.01001 ,1.90660 ,1.96218 ,0.01880 ,2.45764 ,2.48062 ,0.01385 ,1044,0.03121 ,0.21399 ,0.50261 
10440000 ,1.48781 ,1.52244 ,0.01183 ,1.90660 ,1.90603 ,0.01707 ,2.45764 ,2.47712 ,0.02278 ,1045,0.03429 ,0.22568 ,0.49805 
10450000 ,1.48781 ,1.55597 ,0.03197 ,1.90660 ,1.99350 ,0.03474 ,2.45764 ,2.53376 ,0.01533 ,1046,0.04059 ,0.22865 ,0.49907 
10460000 ,1.48781 ,1.54717 ,0.01651 ,1.91211 ,1.90265 ,0.01004 ,2.46316 ,2.56286 ,0.02191 ,1047,0.00948 ,0.23781 ,0.50649 
10470000 ,1.49332 ,1.49385 ,0.04290 ,1.91211 ,1.85967 ,0.01283 ,2.46316 ,2.51063 ,0.01414 ,1048,0.01155 ,0.20714 ,0.52755 
10480000 ,1.49332 ,1.51468 ,0.02776 ,1.91211 ,1.94710 ,0.02009 ,2.46316 ,2.53262 ,0.02082 ,1049,0.01401 ,0.20963 ,0.48954 
10490000 ,1.49332 ,1.51700 ,0.03032 ,1.91211 ,1.90006 ,0.02369 ,2.46867 ,2.53032 ,0.05559 ,1050,0.03299 ,0.21289 ,0.48327 
10500000 ,1.49332 ,1.55584 ,0.01293 ,1.91211 ,1.98860 ,0.03555 ,2.46867 ,2.50741 ,0.01205 ,1051,0.01792 ,0.21586 ,0.49852 
10510000 ,1.49332 ,1.46821 ,0.03577 ,1.91211 ,1.91544 ,0.01597 ,2.46867 ,2.48517 ,0.02395 ,1052,0.01999 ,0.22502 ,0.50837 
10520000 ,1.49332 ,1.55840 ,0.03468 ,1.91762 ,1.91857 ,0.01643 ,2.46867 ,2.55530 ,0.02564 ,1053,0.02245 ,0.19353 ,0.49604 
10530000 ,1.49332 ,1.53691 ,0.02226 ,1.91762 ,1.89512 ,0.02653 ,2.46867 ,2.52348 ,0.00308 ,1054,0.02364 ,0.20064 ,0.49670 
10540000 ,1.49332 ,1.58073 ,0.00978 ,1.91762 ,1.88151 ,0.01263 ,2.47417 ,2.57232 ,0.01831 ,1055,0.02611 ,0.20065 ,0.50330 
10550000 ,1.49883 ,1.49862 ,0.01895 ,1.91762 ,1.93022 ,0.03195 ,2.47417 ,2.54175 ,0.00696 ,1056,0.01106 ,0.19323 ,0.50383 
10560000 ,1.49883 ,1.53101 ,0.03643 ,1.91762 ,1.92324 ,0.00318 ,2.47417 ,2.58967 ,0.01342 ,1057,0.00840 ,0.19183 ,0.51043 
10570000 ,1.49883 ,1.52082 ,0.01736 ,1.91762 ,1.97530 ,0.01506 ,2.47417 ,2.56686 ,0.03747 ,1058,0.03819 ,0.18003 ,0.51398 
10580000 ,1.49883 ,1.51331 ,0.04300 ,1.92313 ,1.85387 ,0.01432 ,2.47417 ,2.57570 ,0.01229 ,1059,0.03409 ,0.19525 ,0.50177 
10590000 ,1.49883 ,1.55439 ,0.02754 ,1.92313 ,1.92596 ,0.02420 ,2.47968 ,2.48084 ,0.02368 ,1060,0.03826 ,0.20402 ,0.50350 
10600000 ,1.49883 ,1.52017 ,0.01395 ,1.92313 ,1.95035 ,0.02860 ,2.47968 ,2.57833 ,0.03135 ,1061,0.04467 ,0.19950 ,0.49404 
10610000 ,1.49883 ,1.43772 ,0.01833 ,1.92313 ,1.91292 ,0.00772 ,2.47968 ,2.52726 ,0.03780 ,1062,0.03191 ,0.17812 ,0.50807 
10620000 ,1.49883 ,1.46789 ,0.01787 ,1.92313 ,1.97818 ,0.02192 ,2.48519 ,2.50910 ,0.01964 ,1063,0.03095 ,0.17668 ,0.51073 
10630000 ,1.50434 ,1.57938 ,0.01863 ,1.92864 ,1.92781 ,0.02615 ,2.48519 ,2.49339 ,0.02220 ,1064,0.01028 ,0.17944 ,0.52075 
10640000 ,1.50434 ,1.53045 ,0.01101 ,1.92864 ,1.93788 ,0.03232 ,2.48519 ,2.59010 ,0.03880 ,1065,0.01246 ,0.19682 ,0.50677 
10650000 ,1.50434 ,1.48952 ,0.00241 ,1.92864 ,1.97444 ,0.00567 ,2.48519 ,2.51351 ,0.01832 ,1066,0.01453 ,0.19539 ,0.51555 
10660000 ,1.50434 ,1.50208 ,0.02359 ,1.92864 ,1.92816 ,0.02329 ,2.48519 ,2.49631 ,0.01181 ,1067,0.01699 ,0.20724 ,0.52215 
10670000 ,1.50434 ,1.42731 ,0.01425 ,1.92864 ,1.94481 ,0.01600 ,2.49070 ,2.51801 ,0.03417 ,1068,0.03597 ,0.20470 ,0.52052 
10680000 ,1.50985 ,1.50820 ,0.02839 ,1.93415 ,1.93144 ,0.02099 ,2.49070 ,2.49343 ,0.01480 ,1069,0.04169 ,0.19542 ,0.52924 
10690000 ,1.50985 ,1.52052 ,0.01162 ,1.93415 ,1.95639 ,0.00695 ,2.49070 ,2.61105 ,0.04441 ,1070,0.03688 ,0.19221 ,0.53261 
10700000 ,1.50985 ,1.50403 ,0.01976 ,1.93415 ,1.92831 ,0.03775 ,2.49070 ,2.56472 ,0.00538 ,1071,0.05077 ,0.19081 ,0.50234 
10710000 ,1.50985 ,1.54370 ,0.02026 ,1.93415 ,1.90061 ,0.01861 ,2.49070 ,2.49092 ,0.00382 ,1072,0.02621 ,0.17901 ,0.50894 
10720000 ,1.50985 ,1.54304 ,0.01243 ,1.93415 ,1.91225 ,0.01381 ,2.49621 ,2.64130 ,0.02593 ,1073,0.02059 ,0.19423 ,0.51249 
10730000 ,1.50985 ,1.51167 ,0.01924 ,1.93415 ,1.90560 ,0.02109 ,2.49621 ,2.59207 ,0.03806 ,1074,0.03705 ,0.20300 ,0.50897 
10740000 ,1.51536 ,1.54580 ,0.03121 ,1.93967 ,1.91397 ,0.02301 ,2.49621 ,2.60286 ,0.01217 ,1075,0.03728 ,0.19848 ,0.51557 
10750000 ,1.51536 ,1.52266 ,0.01522 ,1.93967 ,1.97210 ,0.02176 ,2.49621 ,2.59751 ,0.04029 ,1076,0.05117 ,0.18935 ,0.51394 
10760000 ,1.51536 ,1.52570 ,0.03824 ,1.93967 ,1.94104 ,0.01389 ,2.50173 ,2.55064 ,0.01113 ,1077,0.01357 ,0.18796 ,0.52395 
10770000 ,1.51536 ,1.51934 ,0.01247 ,1.93967 ,1.96799 ,0.03064 ,2.50173 ,2.55907 ,0.00971 ,1078,0.04992 ,0.17761 ,0.52266 
10780000 ,1.51536 ,1.58143 ,0.01280 ,1.93967 ,1.95333 ,0.02516 ,2.50173 ,2.54446 ,0.01756 ,1079,0.04430 ,0.17309 ,0.52603 
10790000 ,1.51536 ,1.57907 ,0.01027 ,1.93967 ,1.95237 ,0.02631 ,2.50173 ,2.57910 ,0.01731 ,1080,0.05433 ,0.17616 ,0.53078 
10800000 ,1.51536 ,1.51617 ,0.01800 ,1.94518 ,1.94776 ,0.02255 ,2.50173 ,2.48647 ,0.03340 ,1081,0.05093 ,0.17220 ,0.53575 
10810000 ,1.51536 ,1.58451 ,0.01028 ,1.94518 ,1.93051 ,0.02393 ,2.50724 ,2.50200 ,0.02357 ,1082,0.03026 ,0.20954 ,0.53912 
10820000 ,1.51536 ,1.58611 ,0.01557 ,1.94518 ,1.92376 ,0.02784 ,2.50724 ,2.53790 ,0.01976 ,1083,0.03660 ,0.20502 ,0.51732 
10830000 ,1.52087 ,1.54967 ,0.03579 ,1.94518 ,2.00863 ,0.02592 ,2.50724 ,2.53420 ,0.03159 ,1084,0.04690 ,0.20396 ,0.49279 
10840000 ,1.52087 ,1.46326 ,0.02054 ,1.94518 ,1.96222 ,0.01188 ,2.50724 ,2.55127 ,0.00913 ,1085,0.03372 ,0.20000 ,0.50699 
10850000 ,1.52087 ,1.57922 ,0.01745 ,1.95069 ,1.86838 ,0.01173 ,2.50724 ,2.53319 ,0.00996 ,1086,0.02810 ,0.17200 ,0.50644 
10860000 ,1.52087 ,1.54865 ,0.01809 ,1.95069 ,1.93806 ,0.02064 ,2.51275 ,2.53458 ,0.03119 ,1087,0.05566 ,0.17395 ,0.50603 
10870000 ,1.52087 ,1.53689 ,0.02062 ,1.95069 ,1.97142 ,0.01909 ,2.51275 ,2.55757 ,0.00127 ,1088,0.03158 ,0.17164 ,0.49806 
10880000 ,1.52639 ,1.55434 ,0.02942 ,1.95069 ,1.98427 ,0.02263 ,2.51275 ,2.60367 ,0.03687 ,1089,0.02999 ,0.18873 ,0.50899 
10890000 ,1.52639 ,1.50979 ,0.05063 ,1.95620 ,1.92102 ,0.02381 ,2.51826 ,2.62325 ,0.02525 ,1090,0.01527 ,0.18642 ,0.50319 
10900000 ,1.52639 ,1.56706 ,0.03258 ,1.95620 ,1.91510 ,0.00451 ,2.51826 ,2.58112 ,0.07067 ,1091,0.02557 ,0.18600 ,0.49679 
10910000 ,1.52639 ,1.59203 ,0.01556 ,1.95620 ,1.90738 ,0.02899 ,2.51826 ,2.57568 ,0.00861 ,1092,0.04529 ,0.18870 ,0.49099 
10920000 ,1.52639 ,1.54131 ,0.00832 ,1.95620 ,1.93860 ,0.01779 ,2.51826 ,2.56222 ,0.05621 ,1093,0.04048 ,0.19747 ,0.47833 
10930000 ,1.52639 ,1.63562 ,0.01147 ,1.95620 ,1.89886 ,0.03511 ,2.51826 ,2.60972 ,0.03521 ,1094,0.05437 ,0.19295 ,0.48632 
10940000 ,1.52639 ,1.50210 ,0.02186 ,1.95620 ,1.98273 ,0.01211 ,2.52377 ,2.62543 ,0.01241 ,1095,0.02981 ,0.20584 ,0.48132 
10950000 ,1.52639 ,1.56718 ,0.02044 ,1.96171 ,1.97172 ,0.01450 ,2.52377 ,2.56681 ,0.02962 ,1096,0.02419 ,0.20132 ,0.48486 
10960000 ,1.53189 ,1.57334 ,0.02525 ,1.96171 ,1.91313 ,0.01865 ,2.52377 ,2.56942 ,0.02193 ,1097,0.04066 ,0.19860 ,0.49273 
10970000 ,1.53189 ,1.59161 ,0.00110 ,1.96171 ,1.95114 ,0.00888 ,2.52377 ,2.54729 ,0.01919 ,1098,0.04311 ,0.19629 ,0.50670 
10980000 ,1.53189 ,1.53501 ,0.03158 ,1.96171 ,1.93009 ,0.01487 ,2.52377 ,2.56815 ,0.02673 ,1099,0.05341 ,0.19730 ,0.50797 
10990000 ,1.53189 ,1.57119 ,0.00674 ,1.96171 ,1.98319 ,0.01349 ,2.52377 ,2.57577 ,0.00977 ,1100,0.04022 ,0.20239 ,0.48489 
11000000 ,1.53189 ,1.52254 ,0.00897 ,1.96722 ,1.94662 ,0.01490 ,2.52928 ,2.54068 ,0.02774 ,1101,0.03460 ,0.20978 ,0.49276 
