"S(0,0)","S_NAG(0,0)"
-0.16389 ,0.00531 
-0.19084 ,0.00593 
-0.14377 ,0.00726 
-0.18033 ,0.00732 
-0.16009 ,0.00743 
-0.01497 ,0.00749 
-0.18627 ,0.00755 
-0.01275 ,0.00774 
-0.18566 ,0.00792 
-0.16192 ,0.00832 
-0.18721 ,0.00846 
-0.16341 ,0.00850 
-0.15073 ,0.00877 
-0.15439 ,0.00893 
-0.16065 ,0.00902 
-0.13472 ,0.00908 
-0.17195 ,0.00920 
-0.19230 ,0.00924 
-0.01835 ,0.00925 
0.00426 ,0.00926 
-0.17804 ,0.00936 
-0.14720 ,0.00938 
-0.19028 ,0.00959 
-0.14893 ,0.00962 
-0.16792 ,0.00975 
-0.14247 ,0.00976 
-0.15195 ,0.00988 
-0.16382 ,0.00993 
-0.15961 ,0.00996 
-0.15554 ,0.01000 
-0.16537 ,0.01001 
-0.15557 ,0.01004 
-0.16480 ,0.01010 
-0.16947 ,0.01020 
-0.18543 ,0.01029 
-0.14168 ,0.01032 
-0.18794 ,0.01039 
-0.15685 ,0.01041 
-0.15819 ,0.01047 
-0.18081 ,0.01052 
-0.17584 ,0.01054 
-0.13926 ,0.01054 
-0.00134 ,0.01055 
-0.18411 ,0.01062 
-0.17310 ,0.01067 
-0.15300 ,0.01067 
-0.15211 ,0.01067 
-0.15946 ,0.01076 
0.00204 ,0.01080 
-0.17455 ,0.01086 
-0.16265 ,0.01088 
-0.17815 ,0.01098 
-0.18377 ,0.01107 
-0.18609 ,0.01116 
-0.19748 ,0.01126 
-0.16158 ,0.01128 
-0.14706 ,0.01130 
-0.18178 ,0.01134 
-0.17119 ,0.01134 
-0.16100 ,0.01136 
-0.17876 ,0.01138 
-0.19347 ,0.01139 
-0.16542 ,0.01142 
-0.15405 ,0.01154 
-0.00850 ,0.01161 
0.00863 ,0.01164 
-0.16852 ,0.01164 
-0.13419 ,0.01164 
-0.14764 ,0.01170 
-0.15220 ,0.01170 
-0.15353 ,0.01171 
-0.17274 ,0.01173 
-0.17881 ,0.01180 
-0.14003 ,0.01184 
-0.16275 ,0.01185 
-0.13823 ,0.01189 
-0.01327 ,0.01190 
-0.14299 ,0.01191 
-0.17330 ,0.01193 
-0.15579 ,0.01193 
-0.15712 ,0.01193 
-0.15451 ,0.01198 
-0.17509 ,0.01201 
-0.16059 ,0.01201 
-0.16834 ,0.01202 
-0.18305 ,0.01207 
-0.13652 ,0.01207 
-0.17487 ,0.01212 
-0.19132 ,0.01214 
-0.00566 ,0.01220 
-0.14284 ,0.01222 
-0.14693 ,0.01224 
-0.14962 ,0.01225 
-0.17994 ,0.01227 
-0.17783 ,0.01231 
-0.15584 ,0.01234 
-0.17554 ,0.01234 
0.00641 ,0.01235 
-0.14551 ,0.01237 
-0.16521 ,0.01239 
-0.16602 ,0.01245 
-0.15274 ,0.01245 
-0.15668 ,0.01246 
-0.18150 ,0.01246 
-0.17278 ,0.01248 
-0.15622 ,0.01249 
-0.13812 ,0.01252 
-0.18450 ,0.01252 
-0.14735 ,0.01256 
-0.17972 ,0.01258 
-0.01549 ,0.01259 
-0.15664 ,0.01262 
-0.14328 ,0.01269 
0.00302 ,0.01269 
-0.15548 ,0.01270 
-0.19260 ,0.01279 
