"S(0,0)","S_NAG(0,0)"
-0.17737 ,0.01279 
-0.17648 ,0.01279 
-0.13939 ,0.01286 
-0.16474 ,0.01286 
0.00432 ,0.01289 
-0.15577 ,0.01291 
-0.13957 ,0.01291 
-0.17771 ,0.01292 
-0.01888 ,0.01293 
-0.16737 ,0.01303 
0.00685 ,0.01304 
-0.18160 ,0.01304 
-0.14343 ,0.01308 
-0.16276 ,0.01316 
-0.01127 ,0.01321 
-0.15767 ,0.01322 
-0.14980 ,0.01323 
-0.16095 ,0.01323 
-0.16182 ,0.01325 
-0.16855 ,0.01328 
-0.14868 ,0.01329 
-0.18605 ,0.01331 
-0.16743 ,0.01332 
-0.18335 ,0.01333 
-0.18532 ,0.01335 
-0.15831 ,0.01336 
-0.13788 ,0.01340 
-0.17912 ,0.01340 
-0.00789 ,0.01340 
-0.18539 ,0.01342 
-0.14855 ,0.01343 
-0.16327 ,0.01349 
-0.13547 ,0.01356 
-0.15286 ,0.01358 
-0.00258 ,0.01359 
-0.14598 ,0.01360 
-0.13230 ,0.01363 
-0.15645 ,0.01367 
-0.16293 ,0.01370 
-0.15379 ,0.01372 
-0.16048 ,0.01372 
-0.15169 ,0.01372 
-0.16930 ,0.01373 
-0.13881 ,0.01374 
-0.15416 ,0.01375 
-0.16307 ,0.01375 
-0.16037 ,0.01378 
-0.15525 ,0.01381 
-0.16198 ,0.01381 
-0.17544 ,0.01382 
-0.16094 ,0.01387 
-0.15326 ,0.01390 
-0.17812 ,0.01396 
-0.17637 ,0.01396 
-0.18277 ,0.01396 
-0.13521 ,0.01397 
0.00852 ,0.01397 
-0.16080 ,0.01398 
-0.13408 ,0.01400 
-0.14944 ,0.01401 
-0.15070 ,0.01401 
-0.14475 ,0.01402 
-0.15427 ,0.01404 
-0.16430 ,0.01405 
-0.17894 ,0.01411 
-0.17545 ,0.01415 
-0.13924 ,0.01416 
0.01079 ,0.01417 
-0.00481 ,0.01420 
-0.17892 ,0.01423 
-0.16988 ,0.01424 
-0.15803 ,0.01424 
-0.13034 ,0.01425 
-0.14912 ,0.01427 
-0.17488 ,0.01430 
-0.14419 ,0.01430 
-0.18003 ,0.01432 
-0.14608 ,0.01433 
-0.16561 ,0.01436 
-0.17351 ,0.01437 
-0.13357 ,0.01440 
-0.01016 ,0.01442 
-0.17573 ,0.01443 
-0.17667 ,0.01444 
-0.13438 ,0.01445 
-0.13941 ,0.01447 
-0.16830 ,0.01447 
-0.15497 ,0.01450 
-0.00819 ,0.01451 
-0.16595 ,0.01454 
-0.17226 ,0.01457 
-0.15952 ,0.01461 
-0.16962 ,0.01463 
-0.14149 ,0.01465 
-0.16624 ,0.01468 
-0.17661 ,0.01469 
-0.17616 ,0.01472 
-0.17180 ,0.01472 
-0.15117 ,0.01474 
-0.18744 ,0.01475 
-0.18671 ,0.01476 
-0.14978 ,0.01477 
-0.15922 ,0.01479 
-0.13731 ,0.01482 
-0.03899 ,0.01483 
-0.14245 ,0.01483 
-0.01038 ,0.01483 
-0.18753 ,0.01484 
-0.14553 ,0.01484 
-0.14988 ,0.01486 
-0.15805 ,0.01487 
-0.14845 ,0.01489 
-0.15985 ,0.01489 
-0.17778 ,0.01491 
-0.14803 ,0.01491 
-0.14623 ,0.01493 
-0.14756 ,0.01493 
-0.14951 ,0.01494 
0.00084 ,0.01494 
-0.15347 ,0.01495 
-0.16526 ,0.01498 
-0.13729 ,0.01499 
-0.15660 ,0.01504 
-0.18573 ,0.01505 
-0.16446 ,0.01507 
-0.00476 ,0.01510 
-0.13158 ,0.01513 
-0.18176 ,0.01515 
-0.15852 ,0.01516 
-0.15550 ,0.01517 
-0.15683 ,0.01517 
-0.15625 ,0.01517 
-0.14132 ,0.01518 
0.01288 ,0.01520 
-0.01434 ,0.01521 
-0.15615 ,0.01521 
-0.17535 ,0.01524 
-0.16425 ,0.01525 
-0.17944 ,0.01525 
-0.00308 ,0.01527 
-0.15850 ,0.01531 
-0.13946 ,0.01532 
-0.13221 ,0.01532 
-0.13962 ,0.01533 
-0.15535 ,0.01533 
-0.16676 ,0.01534 
-0.15106 ,0.01537 
-0.00902 ,0.01540 
-0.17205 ,0.01541 
-0.15514 ,0.01542 
-0.14759 ,0.01542 
-0.14915 ,0.01543 
-0.17145 ,0.01544 
-0.18021 ,0.01544 
-0.13036 ,0.01547 
-0.18279 ,0.01547 
-0.13299 ,0.01548 
-0.16820 ,0.01553 
-0.16917 ,0.01555 
-0.17458 ,0.01558 
-0.17158 ,0.01559 
-0.18388 ,0.01559 
-0.15823 ,0.01560 
-0.15652 ,0.01560 
-0.15735 ,0.01561 
-0.14015 ,0.01562 
-0.00816 ,0.01563 
-0.15997 ,0.01563 
-0.15358 ,0.01564 
-0.15269 ,0.01564 
0.01013 ,0.01564 
0.01121 ,0.01567 
-0.16177 ,0.01568 
-0.14580 ,0.01569 
-0.13676 ,0.01570 
-0.15976 ,0.01572 
-0.16367 ,0.01572 
-0.16367 ,0.01572 
-0.15898 ,0.01573 
-0.16938 ,0.01573 
0.01562 ,0.01574 
-0.13537 ,0.01578 
-0.14172 ,0.01579 
-0.15589 ,0.01579 
-0.13341 ,0.01580 
-0.14333 ,0.01583 
-0.18087 ,0.01585 
-0.01069 ,0.01586 
-0.15925 ,0.01587 
-0.14080 ,0.01588 
-0.17022 ,0.01592 
-0.19474 ,0.01596 
-0.14589 ,0.01597 
-0.16041 ,0.01598 
-0.16639 ,0.01598 
-0.14616 ,0.01599 
-0.15003 ,0.01600 
-0.15136 ,0.01600 
-0.16561 ,0.01601 
-0.16513 ,0.01604 
-0.15103 ,0.01607 
-0.14942 ,0.01607 
-0.00141 ,0.01607 
-0.14642 ,0.01609 
-0.14206 ,0.01610 
-0.15709 ,0.01610 
-0.17823 ,0.01612 
-0.19294 ,0.01617 
-0.15037 ,0.01618 
-0.14920 ,0.01618 
-0.16402 ,0.01618 
-0.14522 ,0.01619 
-0.12442 ,0.01619 
-0.14116 ,0.01620 
-0.17874 ,0.01622 
-0.15295 ,0.01622 
-0.00561 ,0.01623 
-0.15740 ,0.01623 
-0.18406 ,0.01626 
-0.15995 ,0.01634 
-0.15460 ,0.01636 
-0.13737 ,0.01638 
-0.17318 ,0.01638 
-0.16717 ,0.01639 
-0.13843 ,0.01641 
-0.14564 ,0.01641 
-0.13120 ,0.01641 
-0.01376 ,0.01643 
-0.16634 ,0.01644 
-0.15518 ,0.01646 
-0.14689 ,0.01649 
-0.17270 ,0.01649 
-0.13645 ,0.01650 
-0.14722 ,0.01650 
-0.14312 ,0.01651 
0.00429 ,0.01654 
-0.09772 ,0.01654 
-0.14838 ,0.01656 
-0.13335 ,0.01657 
-0.18131 ,0.01657 
-0.16826 ,0.01658 
-0.13603 ,0.01658 
-0.14694 ,0.01658 
0.03176 ,0.01659 
-0.15576 ,0.01665 
-0.16644 ,0.01666 
-0.15616 ,0.01666 
-0.16005 ,0.01669 
-0.12633 ,0.01669 
0.01660 ,0.01671 
-0.12696 ,0.01674 
0.00167 ,0.01674 
-0.16138 ,0.01675 
-0.13398 ,0.01675 
-0.15888 ,0.01676 
-0.13295 ,0.01676 
-0.13109 ,0.01676 
-0.14855 ,0.01676 
-0.16118 ,0.01677 
-0.17526 ,0.01677 
-0.15512 ,0.01677 
-0.15798 ,0.01678 
-0.14735 ,0.01679 
-0.16335 ,0.01682 
-0.14099 ,0.01682 
-0.14610 ,0.01684 
-0.14828 ,0.01684 
-0.16313 ,0.01684 
-0.14797 ,0.01686 
-0.13831 ,0.01687 
-0.13508 ,0.01687 
-0.17789 ,0.01689 
-0.00139 ,0.01690 
-0.15556 ,0.01692 
-0.13660 ,0.01692 
-0.13268 ,0.01694 
-0.15480 ,0.01696 
-0.17352 ,0.01697 
-0.15535 ,0.01700 
-0.15185 ,0.01700 
-0.17900 ,0.01701 
-0.13813 ,0.01703 
-0.15920 ,0.01703 
-0.15457 ,0.01704 
-0.13912 ,0.01704 
-0.15359 ,0.01704 
-0.01177 ,0.01708 
0.00267 ,0.01708 
-0.14586 ,0.01709 
-0.13831 ,0.01710 
-0.16068 ,0.01711 
-0.17732 ,0.01712 
-0.15897 ,0.01712 
-0.14883 ,0.01712 
-0.14134 ,0.01713 
-0.15382 ,0.01713 
-0.15435 ,0.01713 
-0.16662 ,0.01716 
-0.15178 ,0.01716 
0.00000 ,0.01717 
-0.16729 ,0.01719 
-0.18476 ,0.01720 
-0.16970 ,0.01721 
-0.13943 ,0.01722 
-0.16198 ,0.01724 
0.00086 ,0.01726 
0.00959 ,0.01726 
-0.16529 ,0.01727 
-0.00391 ,0.01728 
-0.14041 ,0.01728 
-0.15138 ,0.01729 
-0.16383 ,0.01730 
-0.01621 ,0.01733 
-0.15544 ,0.01735 
-0.16434 ,0.01736 
-0.11763 ,0.01736 
-0.16909 ,0.01738 
-0.16821 ,0.01739 
-0.16231 ,0.01741 
0.00033 ,0.01742 
-0.17434 ,0.01743 
-0.14633 ,0.01743 
-0.11401 ,0.01744 
-0.12724 ,0.01745 
-0.16228 ,0.01746 
-0.15069 ,0.01746 
-0.14273 ,0.01746 
-0.15173 ,0.01748 
-0.14889 ,0.01749 
-0.16228 ,0.01749 
-0.00108 ,0.01750 
-0.14223 ,0.01750 
-0.14805 ,0.01752 
-0.18045 ,0.01753 
-0.14476 ,0.01753 
-0.17379 ,0.01755 
-0.14391 ,0.01756 
-0.14655 ,0.01756 
-0.16422 ,0.01757 
-0.13083 ,0.01758 
-0.17503 ,0.01759 
-0.16269 ,0.01760 
-0.12414 ,0.01761 
-0.09701 ,0.01761 
0.00570 ,0.01763 
-0.13828 ,0.01763 
-0.15551 ,0.01764 
-0.17045 ,0.01765 
-0.14337 ,0.01767 
-0.18186 ,0.01767 
-0.14470 ,0.01767 
-0.16095 ,0.01768 
-0.12698 ,0.01768 
-0.16728 ,0.01770 
-0.18170 ,0.01771 
-0.17541 ,0.01771 
-0.15318 ,0.01772 
-0.15100 ,0.01774 
-0.08162 ,0.01774 
-0.18360 ,0.01774 
-0.14692 ,0.01774 
-0.15133 ,0.01776 
-0.14322 ,0.01776 
-0.15140 ,0.01777 
-0.14938 ,0.01777 
-0.15898 ,0.01778 
-0.17869 ,0.01778 
-0.15311 ,0.01778 
-0.11783 ,0.01779 
-0.17003 ,0.01779 
-0.17616 ,0.01779 
-0.16246 ,0.01781 
-0.16640 ,0.01781 
-0.16043 ,0.01782 
-0.17278 ,0.01786 
-0.00209 ,0.01786 
-0.15162 ,0.01787 
-0.15571 ,0.01788 
-0.13961 ,0.01788 
-0.00119 ,0.01788 
-0.10480 ,0.01790 
-0.12892 ,0.01790 
-0.00909 ,0.01790 
-0.14427 ,0.01790 
-0.16069 ,0.01791 
-0.16979 ,0.01791 
-0.13051 ,0.01793 
-0.14798 ,0.01793 
-0.16928 ,0.01793 
0.00007 ,0.01794 
-0.16911 ,0.01794 
-0.13340 ,0.01794 
-0.16082 ,0.01794 
-0.18340 ,0.01794 
-0.13064 ,0.01796 
0.00013 ,0.01797 
-0.15562 ,0.01797 
0.01999 ,0.01798 
-0.17345 ,0.01798 
-0.12667 ,0.01798 
-0.14323 ,0.01799 
-0.17087 ,0.01799 
-0.17947 ,0.01801 
-0.01469 ,0.01803 
-0.13591 ,0.01804 
-0.13887 ,0.01805 
-0.16894 ,0.01805 
-0.00530 ,0.01806 
-0.14822 ,0.01807 
-0.16239 ,0.01807 
-0.14956 ,0.01807 
-0.15253 ,0.01808 
0.00704 ,0.01810 
-0.17429 ,0.01811 
-0.00528 ,0.01814 
-0.15172 ,0.01814 
-0.14262 ,0.01814 
-0.00191 ,0.01815 
-0.17951 ,0.01815 
-0.05013 ,0.01819 
-0.15643 ,0.01820 
-0.16129 ,0.01821 
-0.14262 ,0.01821 
-0.14236 ,0.01821 
-0.13894 ,0.01822 
-0.13837 ,0.01822 
-0.14134 ,0.01823 
-0.16024 ,0.01823 
-0.15474 ,0.01823 
-0.17570 ,0.01825 
-0.10471 ,0.01825 
-0.17319 ,0.01825 
-0.01487 ,0.01826 
-0.13703 ,0.01828 
-0.13724 ,0.01828 
-0.16636 ,0.01829 
-0.15871 ,0.01829 
-0.00974 ,0.01830 
-0.16001 ,0.01830 
-0.14577 ,0.01832 
-0.02272 ,0.01832 
-0.13137 ,0.01834 
-0.15736 ,0.01835 
-0.16888 ,0.01836 
-0.14383 ,0.01838 
0.02183 ,0.01839 
-0.14587 ,0.01839 
-0.15634 ,0.01839 
0.00112 ,0.01841 
-0.15065 ,0.01842 
-0.17997 ,0.01842 
-0.13795 ,0.01844 
-0.16260 ,0.01845 
-0.15080 ,0.01845 
-0.16031 ,0.01846 
0.00539 ,0.01846 
-0.14557 ,0.01846 
-0.15942 ,0.01847 
-0.18897 ,0.01847 
-0.14771 ,0.01847 
-0.15777 ,0.01848 
-0.16100 ,0.01848 
-0.10604 ,0.01848 
-0.16796 ,0.01851 
-0.16194 ,0.01852 
-0.14666 ,0.01852 
0.00666 ,0.01852 
-0.15625 ,0.01855 
-0.18224 ,0.01855 
-0.15221 ,0.01857 
-0.00680 ,0.01859 
-0.16248 ,0.01859 
-0.17137 ,0.01861 
-0.15866 ,0.01862 
0.01480 ,0.01863 
-0.16585 ,0.01864 
-0.00493 ,0.01864 
-0.11700 ,0.01864 
-0.14723 ,0.01864 
0.00105 ,0.01865 
-0.15899 ,0.01865 
0.00291 ,0.01866 
-0.15251 ,0.01867 
-0.00509 ,0.01867 
-0.00547 ,0.01867 
-0.13810 ,0.01869 
-0.12615 ,0.01869 
-0.03194 ,0.01870 
-0.14160 ,0.01870 
0.02073 ,0.01871 
-0.17641 ,0.01872 
-0.00342 ,0.01873 
0.00623 ,0.01873 
0.01702 ,0.01874 
0.00733 ,0.01874 
-0.10712 ,0.01875 
-0.14019 ,0.01875 
-0.15067 ,0.01875 
-0.17379 ,0.01877 
-0.13076 ,0.01877 
-0.13099 ,0.01879 
-0.16703 ,0.01881 
-0.16306 ,0.01881 
-0.00726 ,0.01884 
-0.17050 ,0.01884 
-0.17700 ,0.01886 
-0.13095 ,0.01886 
-0.00190 ,0.01886 
-0.13499 ,0.01888 
-0.12990 ,0.01889 
-0.14072 ,0.01889 
-0.15123 ,0.01889 
-0.13357 ,0.01890 
-0.09216 ,0.01890 
-0.14671 ,0.01891 
-0.13689 ,0.01893 
-0.16589 ,0.01894 
-0.12722 ,0.01894 
-0.17828 ,0.01895 
-0.10557 ,0.01896 
-0.14402 ,0.01896 
-0.14728 ,0.01896 
-0.14620 ,0.01897 
0.01475 ,0.01897 
-0.12233 ,0.01901 
-0.14687 ,0.01902 
-0.15442 ,0.01902 
-0.16445 ,0.01903 
-0.14733 ,0.01906 
-0.16003 ,0.01907 
-0.11807 ,0.01909 
-0.14121 ,0.01910 
-0.08590 ,0.01911 
-0.14416 ,0.01911 
-0.13871 ,0.01911 
-0.15256 ,0.01911 
-0.01369 ,0.01912 
-0.18104 ,0.01912 
-0.16800 ,0.01913 
-0.16281 ,0.01914 
-0.15596 ,0.01915 
-0.14036 ,0.01916 
-0.18877 ,0.01916 
-0.12296 ,0.01916 
-0.14691 ,0.01917 
-0.17002 ,0.01918 
-0.16386 ,0.01918 
-0.06652 ,0.01919 
-0.15049 ,0.01919 
-0.03387 ,0.01919 
-0.13742 ,0.01919 
-0.00646 ,0.01920 
-0.16659 ,0.01920 
-0.14973 ,0.01920 
-0.00114 ,0.01922 
0.03613 ,0.01922 
-0.18205 ,0.01923 
-0.13910 ,0.01923 
-0.18520 ,0.01925 
-0.12569 ,0.01926 
-0.14888 ,0.01927 
-0.01002 ,0.01927 
-0.09468 ,0.01927 
-0.12933 ,0.01929 
-0.14208 ,0.01929 
-0.08947 ,0.01929 
0.00878 ,0.01930 
-0.13269 ,0.01932 
-0.12595 ,0.01932 
-0.13898 ,0.01932 
-0.17101 ,0.01933 
-0.17122 ,0.01933 
-0.14027 ,0.01933 
0.02706 ,0.01934 
-0.15583 ,0.01934 
0.01192 ,0.01935 
-0.16701 ,0.01935 
-0.17541 ,0.01937 
0.01422 ,0.01938 
-0.16357 ,0.01938 
-0.13241 ,0.01939 
-0.14359 ,0.01939 
-0.12972 ,0.01941 
0.01142 ,0.01941 
-0.00418 ,0.01941 
-0.18231 ,0.01941 
-0.17297 ,0.01943 
-0.13797 ,0.01943 
-0.16997 ,0.01945 
-0.14250 ,0.01947 
-0.01608 ,0.01949 
-0.14276 ,0.01950 
-0.15193 ,0.01950 
-0.14590 ,0.01950 
-0.14519 ,0.01951 
-0.15092 ,0.01951 
-0.07476 ,0.01951 
-0.14341 ,0.01951 
-0.17063 ,0.01951 
-0.16913 ,0.01951 
-0.14352 ,0.01952 
-0.13006 ,0.01952 
-0.12802 ,0.01952 
-0.14718 ,0.01953 
-0.11473 ,0.01954 
-0.14479 ,0.01956 
0.00495 ,0.01957 
-0.14650 ,0.01957 
-0.00381 ,0.01959 
-0.16140 ,0.01959 
-0.15171 ,0.01960 
-0.17706 ,0.01960 
-0.16465 ,0.01960 
-0.06973 ,0.01964 
-0.15715 ,0.01964 
-0.15063 ,0.01965 
-0.17433 ,0.01965 
-0.17484 ,0.01965 
-0.13902 ,0.01966 
-0.16773 ,0.01966 
-0.13600 ,0.01966 
-0.15795 ,0.01967 
-0.00448 ,0.01967 
-0.15702 ,0.01967 
-0.17181 ,0.01967 
-0.15022 ,0.01967 
-0.14251 ,0.01968 
0.00888 ,0.01969 
-0.18260 ,0.01969 
-0.06382 ,0.01972 
-0.15000 ,0.01972 
-0.17427 ,0.01974 
-0.01524 ,0.01975 
-0.06334 ,0.01975 
-0.16105 ,0.01975 
-0.01115 ,0.01976 
-0.11151 ,0.01976 
-0.16926 ,0.01977 
-0.13510 ,0.01978 
-0.13417 ,0.01980 
-0.15271 ,0.01980 
-0.14460 ,0.01980 
-0.15937 ,0.01982 
-0.17103 ,0.01982 
-0.09085 ,0.01982 
-0.14163 ,0.01983 
-0.14048 ,0.01983 
-0.14718 ,0.01983 
-0.13172 ,0.01985 
-0.10346 ,0.01985 
-0.14931 ,0.01986 
-0.08091 ,0.01986 
-0.02085 ,0.01987 
-0.12845 ,0.01987 
-0.00975 ,0.01987 
-0.13840 ,0.01988 
-0.14105 ,0.01990 
-0.15422 ,0.01990 
-0.17808 ,0.01991 
-0.13132 ,0.01992 
-0.11486 ,0.01993 
-0.14243 ,0.01993 
-0.13919 ,0.01994 
-0.14387 ,0.01994 
0.00438 ,0.01994 
-0.02777 ,0.01995 
-0.16361 ,0.01995 
-0.16574 ,0.01995 
-0.13392 ,0.01996 
-0.14404 ,0.01996 
-0.15288 ,0.01996 
-0.06057 ,0.01997 
-0.17188 ,0.01997 
-0.17506 ,0.01998 
-0.14082 ,0.01998 
-0.16131 ,0.01999 
-0.01160 ,0.01999 
-0.15867 ,0.01999 
0.02900 ,0.02000 
-0.14347 ,0.02001 
-0.11929 ,0.02001 
-0.13297 ,0.02002 
-0.14025 ,0.02003 
-0.14922 ,0.02004 
-0.13815 ,0.02004 
-0.17363 ,0.02004 
-0.11573 ,0.02005 
-0.16729 ,0.02006 
-0.17177 ,0.02006 
-0.14248 ,0.02006 
-0.14380 ,0.02006 
-0.18184 ,0.02006 
-0.13703 ,0.02007 
-0.11309 ,0.02007 
-0.12395 ,0.02007 
-0.15587 ,0.02008 
-0.14518 ,0.02009 
0.00533 ,0.02010 
-0.15719 ,0.02010 
0.00139 ,0.02010 
-0.13718 ,0.02011 
-0.13856 ,0.02011 
-0.00456 ,0.02011 
-0.08870 ,0.02012 
-0.10329 ,0.02013 
-0.14797 ,0.02013 
-0.14907 ,0.02014 
-0.16602 ,0.02014 
-0.16794 ,0.02015 
-0.13540 ,0.02016 
-0.16791 ,0.02016 
-0.14190 ,0.02016 
-0.11191 ,0.02016 
-0.14273 ,0.02017 
-0.17450 ,0.02018 
-0.14591 ,0.02019 
-0.12958 ,0.02019 
-0.14929 ,0.02020 
-0.14069 ,0.02021 
-0.14563 ,0.02022 
-0.16586 ,0.02022 
-0.01016 ,0.02023 
-0.13907 ,0.02024 
-0.16556 ,0.02025 
-0.16098 ,0.02025 
-0.13305 ,0.02027 
-0.15744 ,0.02027 
-0.14093 ,0.02027 
-0.14173 ,0.02028 
-0.17124 ,0.02028 
-0.15458 ,0.02028 
-0.13449 ,0.02028 
-0.18951 ,0.02029 
0.00541 ,0.02030 
-0.15548 ,0.02030 
-0.13160 ,0.02030 
-0.12831 ,0.02031 
-0.15142 ,0.02032 
-0.14481 ,0.02032 
-0.16768 ,0.02032 
-0.14275 ,0.02033 
-0.09526 ,0.02033 
-0.02671 ,0.02033 
-0.15039 ,0.02034 
-0.17075 ,0.02035 
0.05334 ,0.02036 
-0.11973 ,0.02036 
-0.11875 ,0.02037 
-0.18107 ,0.02037 
-0.13175 ,0.02039 
-0.14717 ,0.02039 
-0.17281 ,0.02040 
-0.13936 ,0.02040 
-0.13267 ,0.02040 
-0.15979 ,0.02043 
-0.14266 ,0.02043 
-0.00106 ,0.02043 
-0.14531 ,0.02044 
-0.14521 ,0.02044 
-0.13611 ,0.02044 
-0.13564 ,0.02045 
-0.16943 ,0.02045 
-0.13235 ,0.02045 
0.02491 ,0.02046 
-0.13446 ,0.02046 
-0.00986 ,0.02047 
-0.14385 ,0.02047 
0.02130 ,0.02047 
-0.16086 ,0.02047 
-0.14021 ,0.02047 
-0.09582 ,0.02047 
-0.13779 ,0.02048 
-0.01562 ,0.02048 
-0.17099 ,0.02048 
-0.12909 ,0.02049 
-0.10641 ,0.02050 
-0.10477 ,0.02050 
-0.12602 ,0.02050 
0.02567 ,0.02051 
-0.16067 ,0.02051 
-0.14794 ,0.02052 
-0.14701 ,0.02054 
-0.14191 ,0.02055 
-0.13901 ,0.02055 
-0.16368 ,0.02055 
-0.15087 ,0.02056 
-0.16428 ,0.02056 
-0.14295 ,0.02056 
-0.12464 ,0.02056 
0.00884 ,0.02058 
-0.15587 ,0.02059 
-0.13963 ,0.02059 
0.01628 ,0.02059 
-0.08832 ,0.02060 
0.02782 ,0.02060 
-0.14952 ,0.02061 
-0.17306 ,0.02061 
-0.14847 ,0.02062 
-0.12696 ,0.02062 
-0.13060 ,0.02062 
-0.14679 ,0.02063 
0.02127 ,0.02064 
-0.14738 ,0.02064 
-0.12758 ,0.02064 
0.01169 ,0.02064 
-0.00461 ,0.02065 
-0.14728 ,0.02066 
0.00377 ,0.02066 
-0.15561 ,0.02066 
-0.13863 ,0.02066 
-0.15511 ,0.02067 
-0.12380 ,0.02067 
-0.11222 ,0.02067 
-0.07973 ,0.02067 
-0.14944 ,0.02068 
-0.13250 ,0.02069 
-0.17260 ,0.02070 
-0.15937 ,0.02071 
-0.13480 ,0.02072 
-0.13846 ,0.02072 
0.00306 ,0.02072 
-0.00558 ,0.02072 
0.03288 ,0.02073 
-0.12085 ,0.02073 
-0.00562 ,0.02074 
-0.13114 ,0.02074 
-0.11915 ,0.02074 
-0.13395 ,0.02075 
-0.12671 ,0.02075 
-0.14986 ,0.02075 
-0.13107 ,0.02076 
-0.01022 ,0.02076 
-0.18025 ,0.02077 
-0.04598 ,0.02077 
-0.16680 ,0.02079 
-0.01500 ,0.02080 
-0.12915 ,0.02080 
-0.17886 ,0.02081 
-0.13762 ,0.02081 
-0.13614 ,0.02082 
-0.15739 ,0.02083 
0.00458 ,0.02085 
-0.12522 ,0.02085 
-0.16086 ,0.02085 
-0.13591 ,0.02086 
-0.14134 ,0.02086 
-0.09846 ,0.02087 
-0.15844 ,0.02089 
0.00764 ,0.02089 
-0.14867 ,0.02089 
-0.16900 ,0.02090 
-0.17898 ,0.02090 
0.00199 ,0.02091 
-0.15694 ,0.02092 
-0.10371 ,0.02094 
-0.10504 ,0.02095 
-0.15973 ,0.02095 
-0.14062 ,0.02096 
-0.10769 ,0.02096 
-0.10000 ,0.02097 
-0.06855 ,0.02097 
-0.13871 ,0.02098 
-0.14602 ,0.02098 
-0.15687 ,0.02099 
-0.14530 ,0.02099 
-0.16644 ,0.02099 
-0.17203 ,0.02099 
-0.14361 ,0.02101 
-0.13148 ,0.02101 
-0.15305 ,0.02102 
-0.12482 ,0.02102 
-0.13484 ,0.02102 
-0.08582 ,0.02103 
-0.07762 ,0.02104 
-0.02172 ,0.02105 
-0.16294 ,0.02105 
-0.11423 ,0.02105 
-0.14481 ,0.02106 
-0.02939 ,0.02106 
-0.15377 ,0.02107 
-0.17655 ,0.02108 
-0.11857 ,0.02109 
-0.16277 ,0.02109 
-0.16471 ,0.02109 
-0.12594 ,0.02110 
